Frame,Z_coord_n1,na_res,Z_coord_na
0,-2.1686783,40,-6.0726957
1,-2.0282376,40,-11.8859005
2,-2.4369705,40,-21.933289
4,-3.1671102,40,-22.020533
5,-2.5675097,74,-18.644094
6,-2.1399622,74,-18.443464
7,-2.207828,74,-19.861574
9,-1.7679657,74,-20.12861
12,-2.5232399,198,-18.599487
14,-2.576357,198,-21.522146
15,-2.7244654,198,-18.263481
16,-2.8137288,198,-15.780253
17,-3.463665,198,-13.173777
18,-2.847442,74,-19.065105
19,-3.4505339,74,-16.866434
20,-2.8834076,74,-17.373573
22,-3.1068587,198,-19.583881
23,-4.2832108,74,-22.328444
24,-3.8294194,174,-17.550419
25,-3.8577878,174,-20.97441
26,-4.195465,174,-21.269028
27,-3.8493857,174,-17.792976
28,-4.292379,174,-18.266264
29,-4.4382896,174,-18.990835
30,-4.148145,174,-20.760063
31,-3.6617177,174,-22.995783
33,-4.113541,174,-21.084229
34,-4.3285065,174,-19.1238
35,-4.112614,40,-20.076303
36,-3.8507795,174,-17.764982
37,-3.551814,174,-12.613696
38,-3.6380491,174,-9.461013
39,-3.1913853,174,-11.547842
40,-3.7601793,174,-14.613848
41,-3.3655899,174,-18.148973
42,-2.4742472,174,-21.447447
43,-2.0110822,174,-19.71852
47,-1.3816961,174,-16.664526
48,-1.4024777,40,-20.3914
55,-0.092194304,40,-17.104782
56,-0.37372673,40,-16.98252
59,0.16945924,174,-17.509247
61,-0.79869545,40,-20.125853
62,-1.7001257,40,-15.6764555
63,-0.7473244,40,-13.102511
64,-0.59778947,40,-10.309699
65,-0.6029851,40,-13.797589
66,-0.09121719,40,-13.001474
67,-0.79167086,40,-16.581303
70,0.25603837,40,-19.08638
71,-0.09823035,40,-14.720911
72,0.010522682,40,-19.182718
73,-0.40486303,40,-16.188677
74,-0.29032123,198,-18.267502
75,-0.8461537,40,-15.969381
76,-0.75844646,198,-20.55641
77,-0.45107672,40,-13.785935
80,-0.6575482,198,-16.886454
82,-0.38715318,40,-13.880162
83,-1.0568439,40,-14.975739
84,-1.3893808,40,-16.730457
85,-0.8082448,40,-18.519302
86,-1.4279109,40,-19.839573
87,-1.0871547,40,-19.98725
89,-0.889717,174,-17.39542
90,-1.0484488,94,-13.099603
91,-1.8321363,40,-14.406993
92,-1.40331,40,-20.462477
93,-1.4747413,94,-13.4047985
94,-1.3042473,94,-14.922059
95,-1.1784682,94,-16.976522
96,-1.4968032,94,-15.702672
97,-1.4246548,94,-15.3050375
98,-1.9737617,94,-15.787065
99,-1.6075544,94,-19.143093
100,-1.8879976,94,-17.145226
101,-1.5744481,94,-13.614773
102,-2.1754403,94,-10.157159
103,-1.731038,94,-11.435396
104,-1.3162291,94,-9.118319
105,-1.626658,94,-6.1457243
106,-1.7494173,94,-5.839457
107,-0.52946395,94,-9.449197
108,-1.5518131,94,-10.067903
109,-1.4050549,94,-14.373873
110,-1.7802635,94,-16.848606
111,-1.361833,174,-16.66858
112,-1.2181373,174,-16.320398
116,-1.0849985,174,-17.227768
119,-2.0817304,174,-18.228432
120,-1.345875,174,-17.55664
121,-1.2383009,174,-18.099543
124,-2.1130562,40,-18.790318
125,-1.5863706,40,-15.145959
126,-2.3272123,40,-16.732498
129,-1.9141251,174,-17.70639
130,-2.3206005,175,-17.704079
138,-2.9800158,214,-19.650461
139,-2.4950302,174,-18.192713
140,-2.4082696,214,-20.144611
141,-2.5063987,214,-20.560781
142,-2.6303673,214,-21.564728
143,-2.6733882,214,-21.994854
145,-2.7249846,214,-21.114645
146,-1.9607577,214,-19.053104
147,-1.8744612,175,-20.017109
149,-2.0305178,175,-19.474382
150,-1.725103,87,-19.97308
151,-1.4755633,175,-15.707545
152,-1.4107386,175,-15.813808
153,-2.1841316,175,-17.76246
154,-2.6371467,175,-20.725786
157,-2.4391544,174,-17.564484
161,-2.3478997,214,-17.700018
162,-2.1459966,214,-12.178582
163,-3.4947925,214,-16.599693
164,-3.0792487,174,-15.276491
165,-1.683701,174,-17.085554
166,-3.1032743,175,-21.122969
167,-2.9395497,214,-18.879269
168,-2.1430883,40,-17.817732
170,-1.7241998,40,-16.55751
173,-1.3681315,40,-17.522766
174,-1.7495445,174,-20.986843
175,-2.0874867,175,-16.907158
176,-2.1025786,175,-18.478846
177,-2.1423488,175,-17.74874
184,-2.0957532,214,-18.275259
185,-2.3982196,214,-15.0450115
186,-1.8714185,214,-15.848697
187,-1.8970774,214,-15.402947
188,-1.4580446,214,-17.388727
189,-1.3639902,214,-19.446589
191,-0.8571284,214,-17.726398
192,-1.6756759,214,-14.711562
193,-1.98215,39,-17.340721
194,-1.9869031,39,-15.490744
195,-2.6223361,21,-18.584002
196,-2.694124,21,-15.472572
197,-2.4355342,214,-12.643975
198,-1.9918237,214,-9.916272
199,-2.6143649,214,-10.001436
200,-3.0200348,214,-13.717904
201,-2.3057945,214,-10.074984
202,-2.8680284,214,-12.204226
203,-2.7870052,214,-12.610135
204,-3.673944,214,-15.806355
205,-3.87372,175,-18.392193
206,-3.401639,21,-21.233757
207,-3.767833,40,-21.436565
208,-3.6427307,21,-19.018347
209,-4.2328997,21,-21.21962
210,-4.227064,214,-20.690428
211,-3.6018326,21,-16.47761
212,-3.91692,21,-20.39747
213,-3.8547032,21,-18.891918
214,-3.2961063,21,-19.396452
220,-3.5076215,175,-18.944157
222,-3.3910148,175,-16.995459
223,-3.1598115,175,-16.350863
225,-3.329428,174,-18.709995
226,-2.7520807,174,-20.473948
227,-2.563934,174,-17.370533
228,-2.8162878,174,-14.600228
229,-3.3492436,174,-19.785622
230,-3.8546784,174,-19.556963
231,-3.429834,174,-12.59974
232,-4.0892267,174,-12.029017
233,-4.4586344,174,-15.904714
234,-4.030294,174,-17.001799
235,-4.288608,174,-15.626335
236,-4.4340544,174,-18.795519
237,-4.118618,174,-20.281479
240,-3.8842015,174,-19.615152
241,-3.8536947,174,-21.566677
244,-3.6752534,174,-18.24936
245,-3.6425261,174,-18.334274
246,-3.9489515,174,-19.367298
247,-3.3458421,174,-19.480915
258,-2.6593952,174,-15.653257
259,-3.355912,174,-18.847391
260,-3.4662127,174,-20.632421
261,-3.5787692,174,-17.262465
262,-3.3479657,174,-11.853987
263,-3.216615,174,-10.922036
264,-2.8553455,174,-12.035675
265,-2.4394999,174,-18.904032
266,-2.5674207,174,-20.790287
267,-2.2321808,174,-17.05654
268,-1.9509329,174,-16.097841
269,-1.8856614,174,-17.600811
270,-1.8890183,174,-17.63699
271,-2.538666,174,-20.534128
272,-3.151394,174,-15.059233
273,-2.8626308,174,-12.796226
274,-2.6303082,174,-9.577097
275,-2.6882985,174,-18.397802
276,-2.3615515,174,-16.653404
277,-2.179421,174,-14.223822
278,-2.3755682,174,-15.4977045
279,-2.8127775,174,-18.310745
280,-2.56725,174,-15.477163
281,-2.2472103,174,-10.134398
282,-1.9145153,174,-11.031655
283,-2.1158965,174,-12.575949
284,-1.4277077,174,-10.605218
285,-2.1283956,174,-10.5598345
286,-1.9266381,174,-9.918982
287,-1.8914652,174,-16.297306
288,-1.7272004,174,-17.005575
289,-2.3843403,174,-16.189371
290,-2.1921597,174,-14.465825
293,-3.3891766,174,-20.358973
294,-3.0063992,174,-21.22091
295,-3.1240475,174,-21.061478
296,-3.6992903,174,-18.408062
297,-3.771531,21,-20.726482
298,-3.6537502,174,-16.349625
299,-4.270584,174,-17.485561
300,-3.6171432,174,-21.081043
302,-3.029574,174,-17.924673
303,-3.0994039,174,-16.910336
305,-3.2066538,174,-17.654129
317,-4.5884504,21,-18.337986
318,-4.3462863,21,-15.142148
319,-4.85129,21,-19.249447
320,-5.3113904,21,-21.955427
322,-5.122621,21,-17.320492
334,-5.3563986,218,-22.609894
351,-5.713216,101,15.0325775
354,-5.3336663,101,12.316367
360,-5.835771,101,15.807665
368,-5.179408,101,13.522088
369,-5.5113926,101,14.4276085
370,-5.629931,101,13.7868185
371,-5.0095553,101,13.593655
373,-5.4498763,101,13.679337
376,-4.8904753,101,13.611262
378,-6.550364,101,13.459257
379,-6.188216,101,14.356254
383,-6.565612,21,-22.100546
384,-6.994565,21,-15.508473
385,-6.8895435,21,-22.372543
386,-6.5744977,21,-14.926946
387,-7.0939302,21,-18.501982
388,-7.088596,21,-19.84278
389,-7.4240417,21,-18.71068
390,-6.909302,21,-21.886772
391,-7.064214,180,-17.900352
392,-5.923021,180,-17.948793
394,-5.583469,180,-15.255646
395,-5.8133154,21,-22.795872
396,-5.6385245,21,-21.080873
397,-5.605108,21,-18.909515
398,-5.3707867,180,-17.280357
399,-6.507565,180,-23.300413
