Frame,Z_coord_n1,na_res,Z_coord_na
16,-5.80952,247,-23.594032
17,-6.2732687,247,-22.48901
19,-6.3504353,247,-24.960907
20,-6.3751173,267,-19.986427
21,-6.064675,224,14.857506
22,-6.223592,267,-16.91551
23,-6.7754316,267,-20.82278
24,-6.449348,267,-25.903543
25,-5.6888056,267,-22.367693
26,-5.91371,267,-20.05281
27,-6.6092353,267,-23.038267
28,-6.931382,267,-23.042286
31,-7.106962,216,-26.276764
34,-7.0698643,186,-23.79045
35,-6.7661695,186,-23.4408
36,-7.003573,186,-23.486605
37,-6.856408,186,-23.893349
38,-7.3730764,186,-24.256176
40,-6.51509,186,-23.83087
44,-6.9255605,267,-24.062992
57,-6.541812,267,-25.968372
61,-7.707235,267,-22.578102
62,-7.4944973,267,-25.134184
64,-6.1405725,267,-22.355295
69,-8.319458,267,-23.886337
70,-8.2658,267,-24.991467
71,-7.4205556,267,-23.537954
74,-8.667281,267,-24.982334
75,-9.47826,267,-21.076529
76,-9.386868,267,-22.511889
77,-9.259569,267,-24.519876
81,-8.658089,267,-26.469187
82,-8.006724,267,-25.79241
83,-7.736145,267,-23.0682
84,-8.089681,267,-25.653063
91,-8.958789,267,-25.430084
92,-8.61956,267,-23.816639
98,-8.3534775,267,-22.255209
99,-8.391773,186,-26.868652
103,-8.352172,216,-27.647652
105,-8.391281,216,-24.141693
106,-8.504044,216,-24.36959
107,-8.682183,216,-23.868574
108,-8.572057,216,-22.487873
112,-7.9365134,216,-22.069628
114,-8.257118,216,-26.612108
116,-8.940266,216,-25.834696
124,-8.421793,160,-23.674364
125,-8.973177,160,-24.976892
126,-9.427106,160,-26.9927
129,-9.281285,160,-24.969809
139,-9.435173,121,-27.591787
140,-8.821289,121,-27.376665
144,-9.6838255,20,-26.681854
145,-9.407856,20,-25.938337
146,-9.499311,20,-25.38195
154,-9.946946,20,-27.568266
161,-9.994029,97,-23.772331
162,-9.393232,97,-24.072115
163,-8.275871,97,-24.716661
164,-8.811028,97,-22.9429
165,-8.610582,97,-20.944836
166,-9.131822,238,10.015165
167,-8.224908,238,11.4417305
168,-9.085771,97,-28.233635
169,-8.753074,97,-24.514992
170,-9.290098,97,-25.116705
172,-9.466937,238,7.7658596
173,-9.406256,238,5.788009
174,-9.121562,238,5.173386
175,-8.580402,238,3.3826373
176,-8.512896,238,7.3185444
177,-8.000432,238,9.750189
179,-8.265935,238,9.165054
183,-7.6570373,160,-25.339249
184,-7.3251805,160,-22.91057
186,-7.7927904,160,-23.288126
187,-7.572801,160,-23.680908
188,-7.40426,267,-24.440395
189,-7.648348,267,-24.880205
190,-7.23326,267,-24.93264
193,-8.158149,238,12.138121
194,-7.4746537,160,-22.626404
198,-6.818674,238,11.647118
202,-7.3711276,121,-25.886307
210,-8.498596,64,13.1600275
219,-7.780284,182,-24.529604
220,-7.665625,182,-22.398512
221,-6.7638044,182,-20.258493
224,-7.292998,32,-23.372288
225,-7.6628356,97,-25.707737
227,-7.274142,82,-24.021322
228,-7.0228586,82,-24.0653
232,-7.0941653,97,-23.588432
233,-7.590638,82,-25.383387
237,-8.404936,82,-21.248241
238,-8.233564,82,-25.26916
254,-8.191874,238,9.676735
257,-8.824779,238,12.626875
258,-9.2019005,204,11.194302
259,-8.117672,204,12.679009
269,-9.230284,163,8.509959
271,-8.124881,163,12.733095
272,-8.037604,163,12.674658
277,-8.426252,121,-25.482553
278,-8.514765,121,-26.56098
279,-7.3995786,121,-22.973299
280,-8.043607,121,-18.82255
281,-7.5541105,121,-22.079752
282,-8.139763,121,-26.844097
283,-7.7942085,15,12.043225
284,-6.6554527,15,9.838776
285,-7.0058613,15,10.513559
286,-7.3420134,121,-23.880249
287,-7.55469,15,9.280894
290,-6.628977,121,-24.419353
291,-6.8188133,121,-22.365664
292,-7.3734636,121,-19.044212
293,-6.8104835,82,-21.633047
294,-6.86378,121,-16.969883
295,-6.7815394,121,-17.89783
296,-6.669866,121,-19.318863
297,-6.689559,121,-16.960917
298,-7.3359485,121,-17.996096
299,-6.6831594,121,-16.154182
300,-6.6557894,121,-16.301952
301,-6.993203,121,-17.995056
302,-7.3664756,121,-25.15539
303,-7.1089077,121,-25.10962
305,-7.053814,204,11.29968
306,-6.9398766,204,9.658696
307,-6.8026376,204,8.669255
308,-7.0426397,204,7.694685
311,-8.17996,204,11.650149
312,-7.911961,204,8.989115
313,-7.8266478,204,10.421799
317,-7.7127953,204,8.539507
318,-7.70242,204,12.357714
319,-7.5239615,204,9.862635
320,-8.352298,204,9.320609
321,-8.557164,204,9.412806
322,-8.18664,204,13.843778
326,-8.88338,204,11.244768
329,-8.339062,204,11.594867
331,-8.051109,204,10.8871355
332,-8.389413,204,12.272911
334,-7.819628,255,-25.245483
336,-7.769679,255,-25.972218
343,-7.4650664,204,12.407643
344,-8.629046,204,13.524485
345,-8.657168,204,11.168426
346,-8.782542,204,10.817322
347,-8.572985,204,6.2035084
348,-8.429295,204,6.098296
349,-8.1014185,204,2.849639
350,-8.509262,204,4.818417
351,-8.304651,204,4.9229064
352,-8.738706,204,2.0035899
353,-8.600145,204,7.518929
354,-8.850571,204,11.659798
355,-7.752452,204,11.397906
356,-8.6445875,204,12.400544
357,-7.811061,204,10.026636
360,-7.916831,204,13.328995
361,-8.41665,204,9.625492
362,-8.487465,204,9.296014
366,-8.077664,255,-26.792128
367,-7.188668,255,-24.53538
373,-8.967502,159,-27.378313
387,-8.986076,151,-27.959312
388,-8.99039,30,-24.827951
389,-8.732205,30,-23.145588
392,-8.332411,159,-24.03289
397,-9.0501,159,-21.835157
398,-9.628428,159,-21.54724
399,-10.0349655,159,-23.39342
