Frame,Z_coord_n1,na_res,Z_coord_na
6,-4.8568535,143,-21.490932
7,-4.788608,143,-20.067593
8,-4.8986936,143,-18.9932
9,-5.884877,143,-20.83155
10,-5.8055506,143,-21.670855
11,-5.015121,143,-19.729498
19,-6.3083425,143,-23.755236
20,-5.994818,143,-22.825537
21,-5.8464975,143,-22.738552
22,-5.6595287,143,-21.026773
23,-6.3310385,143,-20.975481
24,-5.6785307,143,-24.080467
25,-6.1290174,143,-23.44917
40,-4.107154,54,-20.90938
41,-3.7349572,54,-21.711647
42,-3.9849763,54,-22.127422
43,-3.6390269,54,-20.70326
46,-3.3639448,167,-21.337433
47,-2.6855016,167,-21.907677
51,-3.6924014,167,-18.928942
52,-4.2906904,167,-20.46676
53,-3.9522667,167,-17.098375
54,-3.8898714,167,-19.181852
124,-1.2454711,113,17.147678
126,-1.7476794,161,-18.817652
361,-1.6431783,111,-19.83913
362,-1.0899748,111,-19.928934
366,-0.352683,111,-14.4394245
367,-0.50738657,111,-19.627613
373,0.52491385,111,-18.218746
374,0.014922496,111,-18.795847
375,0.10978499,111,-18.307638
378,0.37709904,111,-15.781796
379,0.09617979,111,-16.815207
