Frame,Z_coord_n1,na_res,Z_coord_na
0,-7.0147786,103,-19.055275
1,-7.3514147,103,-21.877531
2,-7.2264585,103,-25.032537
3,-7.3935323,157,-10.392768
4,-6.847583,157,-10.465409
5,-7.2198153,157,-13.328136
6,-8.260196,157,-13.964023
7,-7.567992,157,-12.722163
8,-7.3474636,157,-14.582225
9,-7.392792,157,-13.013693
10,-6.9675956,157,-12.848403
11,-7.022527,157,-12.92316
12,-7.497405,157,-12.485504
13,-7.2653027,157,-13.295735
14,-6.8335094,157,-13.084431
15,-7.318373,157,-14.408899
16,-6.827387,157,-14.77973
17,-6.633449,157,-12.910353
18,-6.7777214,157,-13.155323
19,-7.4086018,157,-12.698695
20,-7.203966,157,-12.981482
21,-8.153439,157,-14.014423
22,-7.387,157,-12.668194
23,-7.643018,157,-17.635502
24,-7.502998,157,-13.970243
25,-7.744613,157,-13.778001
26,-7.3448653,157,-14.602845
27,-7.2392297,157,-15.04682
28,-7.484996,157,-14.442007
29,-7.297266,157,-17.657259
30,-7.4933515,157,-13.822451
31,-7.2599845,157,-13.25768
32,-8.133511,157,-13.995103
33,-7.2189856,157,-15.9413
34,-7.1533933,157,-13.788988
35,-7.380956,157,-10.36048
36,-7.573733,157,-12.783318
37,-7.6660132,157,-10.302678
38,-7.5914574,157,-10.71894
39,-7.28811,157,-7.693807
40,-6.840139,157,-7.625956
41,-7.97096,157,-8.41702
42,-7.8432717,157,-9.191743
43,-8.388256,157,-8.818903
44,-8.797233,157,-9.512378
45,-8.4983635,157,-9.016331
46,-8.795457,157,-10.4824095
47,-8.303009,157,-8.588262
48,-8.547535,157,-9.179693
49,-8.466329,157,-8.821823
50,-8.083511,157,-8.649453
51,-8.306599,157,-8.661485
52,-8.100781,157,-8.690909
53,-8.238817,157,-9.173781
54,-8.991053,157,-8.991168
55,-7.910889,157,-8.278787
56,-8.367614,157,-8.911384
57,-8.810452,157,-8.86459
58,-9.054223,157,-9.58732
59,-9.447395,157,-10.646651
60,-9.168775,157,-9.776574
61,-9.214977,157,-10.670989
62,-9.167122,157,-9.559946
63,-9.519675,157,-11.417953
64,-9.414203,157,-11.113543
65,-8.746514,157,-10.140453
66,-9.042029,157,-9.415573
67,-8.071124,157,-8.291549
