Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
11,none,none,none,,none,11.15,3.98,-0.98,0.46,-0.99,0.28,0.01,0.17,0.67,-0.33,-0.8,-0.49,-0.68,-0.73,0.2,-0.53,-1.0,-0.71,0.18,-0.38,0.39,0.45,0.2,-0.44,-0.26,-0.65,-0.67,0.31,-0.09,-0.31,0.16,0.17,0.08,-0.08,-0.19,0.33,-0.07,-0.05,-0.11,-0.01,-0.05,-0.15,0.03,-0.04,-0.15
12,none,none,none,,none,10.26,3.95,-0.9,0.46,-1.1,0.26,-0.42,0.77,0.59,-0.69,-1.12,-0.35,-0.31,-0.85,0.11,-0.77,-0.64,-1.29,0.09,-0.25,0.28,-0.2,0.43,-0.17,0.03,-0.93,-0.59,0.15,0.03,-0.46,0.09,0.21,0.21,-0.03,0.15,0.28,-0.37,-0.28,-0.24,0.12,0.02,0.05,0.1,-0.12,-0.11
13,none,none,none,,none,12.22,3.8,-1.12,0.62,-1.45,0.8,0.06,0.12,0.7,-0.12,-1.03,-0.41,-0.15,-0.34,-0.24,-0.27,-0.46,-0.86,0.38,-0.04,-0.26,0.12,0.0,0.68,0.12,-0.87,-0.14,0.73,0.24,-0.06,-0.18,0.17,0.27,-0.21,-0.13,0.2,-0.4,0.14,-0.49,0.28,-0.1,0.16,-0.02,-0.16,-0.03
14,none,none,none,,none,9.99,3.37,-0.93,0.35,-1.16,0.61,0.22,0.23,0.04,-0.24,-0.64,-0.3,-0.6,-0.49,-0.0,-0.92,-0.51,-1.15,-0.42,0.09,-0.1,-0.21,-0.12,-0.19,-0.33,-0.64,-0.25,0.31,-0.01,-0.36,-0.26,-0.07,0.17,0.08,0.27,0.06,-0.01,-0.22,-0.22,-0.03,0.31,-0.16,0.05,0.09,-0.07
15,none,none,none,,none,10.84,3.81,-0.88,0.42,-0.94,1.17,0.06,0.13,0.23,-0.43,-1.01,-0.54,-0.02,-0.47,-0.33,-0.4,0.0,-0.69,-0.11,-0.64,0.1,-0.23,0.32,0.33,-0.54,-0.48,-0.11,-0.28,-0.37,0.05,0.38,-0.12,0.37,0.06,0.03,0.61,-0.13,0.15,0.05,-0.08,-0.15,-0.3,0.13,-0.15,0.0
16,none,none,none,,none,11.21,4.01,-0.86,0.5,-1.31,0.49,-0.09,0.1,0.54,0.14,-0.6,-0.57,0.37,0.06,-0.02,-0.01,-0.21,-1.15,-0.19,0.28,0.05,-0.4,-0.23,0.21,-0.24,-0.06,0.23,-0.16,-0.04,0.09,-0.31,0.09,-0.27,-0.32,-0.12,0.17,-0.11,-0.16,-0.0,0.16,-0.24,-0.13,0.04,-0.04,0.04
17,-9.62896,116.0,10.348699,prod1,19.98,11.03,3.76,-0.95,0.31,-1.22,-0.08,0.11,-0.56,0.46,-0.61,-0.69,-0.47,-0.91,-0.82,-0.33,-0.1,-0.85,-1.01,-0.13,-0.14,0.29,-0.07,-0.57,-0.03,-0.17,-0.13,-0.26,0.19,-0.48,-0.47,-0.1,0.38,-0.29,-0.09,-0.15,0.13,-0.19,-0.1,0.03,0.05,-0.15,-0.06,-0.05,0.18,-0.07
18,none,none,none,,none,10.27,3.64,-0.94,0.51,-0.58,0.34,0.44,-0.01,0.36,-1.16,-0.43,-0.77,0.1,-0.94,-0.48,0.82,-0.6,-0.57,-0.18,-0.91,0.34,0.18,-0.63,0.18,0.02,-0.32,0.01,-0.29,0.05,-0.08,0.23,0.09,-0.27,0.03,-0.02,0.08,0.12,-0.12,0.09,0.05,0.18,-0.05,0.05,-0.01,-0.02
19,none,none,none,,none,11.5,3.93,-0.99,0.35,-1.08,0.37,0.13,-0.11,0.07,-0.43,-0.8,-0.82,0.32,-0.56,-0.56,1.11,-0.54,-1.17,0.02,0.17,-0.32,-0.38,-0.25,0.67,-0.4,-0.05,0.11,0.49,0.16,0.38,-0.42,-0.25,-0.14,-0.0,0.11,0.09,-0.14,-0.29,0.02,0.18,0.0,-0.13,-0.12,0.03,-0.03
20,none,none,none,,none,9.61,3.59,-0.73,0.38,-0.76,0.75,-0.53,-0.2,-0.13,-0.26,-0.94,-1.7,0.49,0.07,0.01,1.48,-0.47,-0.38,-0.59,-0.28,-0.25,0.04,0.09,0.26,-0.09,-0.31,0.17,0.45,-0.17,-0.39,-0.32,-0.15,-0.12,0.14,0.18,0.04,-0.14,-0.36,-0.35,0.05,-0.04,-0.09,0.1,0.06,0.0
21,none,none,none,,none,10.62,3.32,-0.83,0.47,-1.02,1.53,-0.08,0.07,0.09,0.34,-2.05,-1.63,0.52,-0.12,0.14,0.02,-0.86,-0.85,-0.53,-0.25,-0.34,0.5,0.22,0.04,0.18,-0.93,-0.38,0.6,0.27,0.21,-0.09,0.23,-0.15,0.01,0.02,-0.28,-0.04,0.04,-0.13,0.07,0.31,-0.1,0.06,-0.07,-0.12
22,none,none,none,,none,9.9,3.64,-0.86,0.55,-0.64,1.26,0.07,0.19,0.06,0.25,-1.2,-1.67,0.38,0.16,-0.41,0.42,-0.0,-0.4,-0.24,-0.05,-0.45,0.43,0.16,0.53,-0.27,-0.45,-0.18,-0.24,0.19,-0.28,0.12,-0.43,0.41,0.11,0.38,0.11,0.19,0.0,-0.03,0.19,0.21,-0.13,0.02,0.07,-0.16
23,none,none,none,,none,10.95,4.04,-0.98,0.27,-0.97,0.86,0.22,0.46,-0.37,-0.67,-0.84,-0.89,-0.08,0.37,-0.12,0.15,-0.54,0.01,0.01,-0.23,0.6,0.29,0.17,0.09,-0.22,-0.39,0.3,0.44,-0.16,-0.13,-0.16,0.06,0.45,0.34,0.01,0.28,-0.09,-0.1,-0.06,-0.09,0.02,0.01,0.03,0.04,-0.0
24,none,none,none,,none,10.2,3.75,-0.82,0.25,-0.43,1.54,0.23,0.59,-0.77,0.16,-1.15,-1.03,0.28,0.48,0.07,1.57,-0.96,-0.15,-0.31,0.11,-0.1,-0.18,-0.08,0.0,0.19,-0.45,-0.4,-0.1,0.14,0.74,-0.13,-0.26,-0.11,0.2,0.39,0.0,0.11,0.24,0.12,-0.04,0.04,0.01,0.06,0.05,-0.01
25,-9.6577635,174.0,-28.602312,prod1,-18.94,10.63,3.97,-0.73,0.0,-0.76,1.3,-0.26,0.62,-0.46,-0.14,-0.23,-1.24,0.3,0.8,-0.25,0.76,0.46,0.66,-0.45,-0.35,0.11,0.4,-0.59,-0.12,-0.21,-0.37,0.15,0.33,-0.13,-0.47,-0.41,-0.18,-0.1,-0.06,-0.26,0.16,-0.3,-0.14,-0.18,0.01,-0.03,-0.23,0.02,-0.06,-0.05
26,none,none,none,,none,10.46,3.87,-0.96,0.09,-0.18,1.32,0.27,0.35,-1.09,0.17,-1.58,-1.14,0.8,-0.23,0.51,1.65,-0.51,0.23,-0.39,-0.11,0.13,-0.36,0.1,-0.25,0.03,-0.62,-0.2,0.09,-0.32,0.09,-0.21,-0.07,0.29,0.05,0.11,0.07,0.19,0.08,0.01,0.03,0.12,-0.11,0.06,0.03,-0.05
27,-9.994279,174.0,-27.38081,prod1,-17.39,10.45,3.37,-0.75,0.51,-0.36,0.98,-0.36,0.37,-0.41,0.37,-1.95,-1.12,0.18,0.18,0.5,0.62,-0.71,0.38,-0.6,-0.82,0.31,0.15,-0.35,-0.37,-0.07,-0.4,-0.11,-0.25,-0.35,-0.32,0.15,-0.05,-0.11,-0.25,0.04,0.28,0.09,-0.08,-0.0,-0.07,0.04,-0.25,-0.01,-0.0,-0.05
