Frame,Z_coord_n1,na_res,Z_coord_na
0,-10.997996,213,-24.309452
1,-10.573866,213,-23.707409
2,-10.497336,82,-27.415525
3,-10.034028,82,-26.222008
4,-10.588193,82,-23.350021
5,-11.190279,82,-24.108095
6,-11.597545,82,-29.666693
7,-11.211403,213,-21.376589
8,-11.37109,147,-28.897919
10,-10.859086,147,-21.92066
11,-10.390661,147,-25.626545
12,-10.076053,147,-20.349773
13,-10.107145,147,-28.597395
14,-10.1636505,147,-26.72397
15,-10.741983,167,-28.034403
16,-10.920631,167,-24.286953
17,-11.039028,167,-23.535742
18,-11.125443,167,-23.007345
19,-10.393556,167,-18.573235
20,-11.26046,167,-17.383585
21,-12.032237,167,-18.908207
22,-11.23783,167,-14.562087
23,-11.812319,96,-27.486013
24,-12.538846,96,-26.220795
25,-12.348029,96,-26.20344
26,-12.509466,96,-24.290922
27,-12.031342,96,-29.0957
28,-12.455846,167,-21.17862
29,-11.900749,167,-16.444704
30,-11.493909,167,-15.644336
31,-11.90427,167,-15.837251
32,-12.683684,167,-14.869819
33,-12.514908,122,-27.24718
34,-12.506926,167,-23.056072
35,-13.657967,167,-20.51614
36,-13.405795,167,-22.742403
37,-13.584949,122,-28.398245
38,-13.716678,122,-29.886454
39,-14.635224,122,-21.877073
40,-13.939928,122,-26.407478
41,-14.360197,122,-22.8505
42,-14.689999,122,-24.542501
43,-13.858836,122,-22.24185
44,-13.696394,122,-22.655857
45,-12.867589,147,-28.500195
46,-12.359729,147,-29.209349
47,-12.33833,122,-25.243275
48,-12.009043,213,-28.366817
49,-11.891308,147,-18.680527
50,-11.397717,147,-16.86852
51,-10.459305,147,-18.305004
52,-11.512853,147,-18.01262
53,-11.870952,147,-19.376606
54,-11.652262,147,-20.669832
55,-11.48556,122,-22.09515
56,-11.756405,122,-25.943684
57,-11.9167185,147,-22.962318
58,-12.022028,147,-26.910759
59,-12.20443,122,-24.385708
60,-12.049441,122,-18.692648
61,-11.794146,122,-16.582739
62,-12.062132,122,-15.9328575
63,-11.274471,122,-25.205833
64,-11.823036,147,-22.925
65,-11.128902,122,-21.696365
66,-11.050517,29,-27.03454
67,-11.331848,122,-18.637075
68,-11.162438,122,-19.323357
69,-11.4756,122,-19.639174
70,-11.279332,167,-19.629566
71,-11.832607,122,-18.543716
72,-11.440924,122,-23.703955
73,-11.138281,122,-22.19973
74,-11.436864,122,-27.189968
75,-11.213867,122,-20.569862
76,-11.577239,122,-22.735239
77,-11.887008,122,-20.104424
78,-11.9398365,122,-16.64016
79,-11.527743,122,-15.386409
80,-11.360523,122,-15.490824
81,-11.580297,122,-12.557565
82,-10.729789,122,-12.967045
83,-11.612439,122,-15.641062
84,-10.989449,122,-16.965609
85,-11.208028,122,-19.60667
86,-11.074182,122,-23.26092
87,-11.01346,122,-28.281868
88,-10.87962,122,-27.6748
89,-11.718917,122,-29.56101
99,-12.084696,122,-26.189661
100,-11.999701,29,-28.456467
103,-11.158173,122,-27.569626
104,-11.233361,122,-27.44157
106,-10.627423,122,-27.381592
107,-10.6253395,122,-20.93255
108,-11.0180645,29,-28.385027
109,-12.085818,29,-27.094051
110,-11.654455,29,-26.770111
111,-11.396224,29,-25.180387
112,-12.064874,29,-20.962677
113,-11.75743,29,-18.184586
