Frame,Z_coord_n1,na_res,Z_coord_na
4,-7.1895504,195,14.344772
10,-7.4430976,195,12.289111
11,-7.443885,195,11.090247
13,-7.4854693,195,10.3835945
15,-7.3549447,195,11.003508
16,-7.1250763,195,11.308377
17,-7.177873,195,11.13068
19,-6.875449,109,-23.652292
20,-6.7689786,109,-25.157413
21,-6.923956,109,-23.937445
22,-7.2592945,109,-21.809908
23,-7.3595796,109,-25.064829
24,-7.0212426,109,-19.937632
25,-7.33265,109,-18.266657
26,-7.254314,109,-22.56372
27,-7.4499435,109,-22.376474
28,-8.149864,109,-24.945036
29,-8.038816,109,-26.234892
30,-8.151066,177,-20.32586
32,-7.676773,177,-21.968891
33,-8.169144,195,9.973481
35,-8.622717,195,10.144049
38,-8.9419155,195,9.535168
39,-8.645721,195,9.947341
48,-9.079559,195,9.31065
49,-9.528417,109,-24.181076
50,-9.596313,109,-26.672247
51,-8.970739,109,-23.773752
52,-9.642326,109,-22.113052
53,-9.278672,109,-23.033363
54,-8.55089,109,-25.405348
55,-8.319477,109,-25.034353
58,-9.363077,109,-22.445835
59,-9.1340885,163,10.1300745
60,-9.718626,163,10.223613
61,-9.676101,109,-26.038813
62,-8.9686,109,-25.745594
63,-9.584862,195,10.826347
65,-9.482321,195,11.1669855
70,-9.715562,163,12.323446
71,-9.328875,163,12.173312
78,-8.621436,163,11.927967
80,-8.745075,109,-26.210878
82,-9.690835,109,-28.854137
135,-9.034732,109,-26.343687
136,-9.083058,109,-26.45921
137,-9.581641,109,-26.35388
138,-8.860388,109,-21.79116
139,-7.6330566,109,-23.175404
140,-8.209393,109,-19.930056
141,-7.8366036,109,-16.296965
142,-8.641588,109,-14.673617
143,-7.6342916,109,-17.727858
144,-8.187724,109,-16.479544
145,-7.8791103,109,-16.29879
146,-7.60103,109,-15.336572
147,-7.478368,109,-16.126642
148,-8.081203,109,-17.059687
149,-7.5155253,109,-17.399067
150,-7.426448,109,-18.793055
151,-7.6444263,109,-19.411894
152,-7.7122655,109,-16.241417
153,-7.8364873,109,-19.483006
154,-7.9758477,109,-21.643963
155,-7.974806,109,-21.599863
156,-8.309131,109,-17.38616
157,-8.739655,109,-24.454542
158,-8.492382,109,-23.668493
159,-8.863141,109,-23.11469
160,-8.736882,109,-23.434738
161,-8.725427,109,-26.446795
164,-8.018378,109,-26.067595
165,-8.349056,109,-22.848036
166,-8.024683,109,-19.939388
167,-8.268431,109,-21.696447
168,-8.487159,109,-22.052885
169,-7.777411,109,-24.635607
170,-7.9351892,109,-25.138306
171,-8.483141,109,-22.553934
172,-8.526104,109,-19.986689
173,-8.090069,109,-21.460344
174,-7.6893454,109,-20.286493
175,-8.343531,109,-21.834793
176,-7.372579,109,-20.07573
177,-7.744316,109,-20.78013
178,-8.012733,109,-21.004862
179,-7.4633493,109,-22.650904
180,-8.098782,109,-20.525534
181,-7.6797323,109,-21.721617
182,-8.01399,109,-21.148449
183,-7.416241,109,-19.724094
184,-7.0379167,109,-20.244999
185,-7.3934927,109,-20.802954
186,-7.2554636,109,-19.976484
187,-7.6895957,109,-20.537806
188,-7.952818,109,-21.729334
189,-8.041531,109,-20.50254
190,-7.71844,109,-20.177822
191,-6.696472,109,-19.86412
192,-6.622655,109,-18.900751
193,-6.9278293,109,-20.820866
194,-7.1279426,109,-22.885311
195,-6.8946567,109,-20.91292
196,-7.0918727,109,-21.76638
197,-7.532841,109,-22.681007
198,-6.633855,109,-24.212948
204,-6.908914,109,-19.676523
205,-6.962616,109,-18.883171
206,-6.5561295,109,-20.498785
207,-6.5177813,109,-23.792645
209,-7.706598,109,-25.760267
210,-6.8977866,109,-24.54367
212,-6.8684845,109,-21.651665
213,-6.8145466,109,-23.45453
214,-7.214595,109,-22.429325
215,-7.0329227,109,-23.66658
216,-7.86267,109,-24.536566
217,-7.8453703,109,-25.255552
218,-8.239361,109,-24.982452
219,-6.9588933,109,-20.95194
220,-7.66144,109,-22.034842
221,-7.9310613,109,-21.938002
222,-7.824626,109,-21.012472
223,-7.566101,109,-19.763689
224,-7.922294,109,-20.976936
225,-7.85619,109,-20.862812
226,-7.9565034,109,-19.995075
227,-7.677711,109,-19.99471
228,-7.4409447,109,-19.114412
229,-7.5724254,109,-16.292683
230,-7.474266,109,-19.702272
231,-7.4946804,109,-20.09563
232,-7.755603,109,-20.551455
233,-7.649766,109,-19.68606
234,-7.6482553,109,-21.523026
235,-7.354904,109,-21.165503
236,-7.078065,109,-18.94382
237,-6.9452066,109,-14.715395
238,-6.8379326,109,-17.784815
239,-6.7290945,109,-15.823516
240,-6.4511123,109,-18.458298
241,-6.719096,34,-21.579992
242,-6.2641807,34,-20.44123
243,-6.773617,247,-24.545576
244,-5.5753126,247,-23.504137
245,-5.800006,247,-22.138004
246,-5.9424686,247,-21.013144
247,-5.614746,247,-23.528605
248,-5.8414216,247,-22.259777
265,-6.228514,34,-23.297588
276,-6.666646,247,-20.367323
277,-7.206062,247,-19.918993
297,-6.334991,247,-21.623095
298,-6.948635,247,-16.159025
299,-7.1140046,247,-22.464973
300,-7.24878,247,-24.842907
302,-7.57634,247,-24.483486
357,-9.446944,123,-22.838661
358,-9.400259,123,-22.388437
359,-8.789233,123,-24.528986
360,-8.466326,123,-22.93946
361,-8.918308,123,-24.5856
