Frame,Z_coord_n1,na_res,Z_coord_na,prod
171,-6.387752,157,-8.262741,prod1
172,-5.9968576,33,-21.675455,prod1
173,-5.977308,33,-21.210096,prod1
174,-6.0079994,157,-7.8434167,prod1
175,-6.8226013,157,-8.1154995,prod1
176,-7.0041575,157,-8.219051,prod1
177,-7.4613137,33,-23.509592,prod1
178,-6.7552185,33,-23.10577,prod1
179,-7.4523363,157,-8.832954,prod1
180,-7.3293166,33,-26.384321,prod1
181,-6.813916,157,-8.188599,prod1
182,-6.9405823,157,-8.308382,prod1
183,-7.1675673,157,-6.867244,prod1
184,-6.854886,157,-7.641135,prod1
185,-7.051892,157,-6.6915994,prod1
186,-7.4238944,157,-7.3582964,prod1
187,-7.362941,157,-6.6922507,prod1
188,-7.718768,157,-9.084053,prod1
189,-7.476911,157,-8.968512,prod1
190,-7.937093,157,-9.71887,prod1
191,-8.171875,157,-9.744093,prod1
192,-7.756311,157,-8.058355,prod1
193,-8.306799,91,12.086323,prod1
194,-7.717174,157,-7.581742,prod1
195,-8.08206,157,-8.028754,prod1
196,-7.4962773,157,-8.818281,prod1
197,-7.345619,157,-7.5387225,prod1
198,-7.4980335,91,10.683869,prod1
199,-7.2512016,157,-7.001371,prod1
200,-6.7958817,91,12.179669,prod1
201,-6.91524,91,14.319778,prod1
202,-7.0637536,91,10.7038555,prod1
203,-7.0461807,91,12.119518,prod1
204,-6.6336083,157,-6.761662,prod1
205,-6.2201486,91,11.724353,prod1
206,-7.336902,91,11.83024,prod1
207,-7.7130685,157,-7.742971,prod1
208,-7.967691,157,-7.3166595,prod1
209,-7.536133,157,-8.104912,prod1
210,-7.6566978,157,-8.620017,prod1
211,-7.649695,157,-7.8928785,prod1
212,-7.214931,157,-8.301676,prod1
213,-7.3412337,157,-6.9838467,prod1
214,-7.4648027,157,-7.3964767,prod1
215,-7.2000318,157,-8.290799,prod1
216,-7.221698,157,-8.827423,prod1
217,-7.8154244,157,-9.123807,prod1
218,-8.293488,157,-8.987137,prod1
219,-7.6315093,157,-8.332059,prod1
220,-7.3170195,157,-8.778225,prod1
221,-8.642225,157,-9.606204,prod1
222,-8.067917,157,-8.932589,prod1
223,-8.538503,157,-9.9434185,prod1
224,-7.85674,157,-9.034379,prod1
225,-8.088459,157,-9.218102,prod1
226,-8.570481,157,-9.496307,prod1
227,-7.71703,157,-8.529649,prod1
228,-7.8996696,157,-7.554384,prod1
229,-7.8994575,157,-7.713195,prod1
230,-7.772068,157,-9.547485,prod1
231,-7.519422,157,-8.495606,prod1
232,-7.5447907,157,-9.164532,prod1
233,-7.389853,157,-8.702262,prod1
234,-7.178781,157,-8.132586,prod1
235,-6.8699474,157,-8.264327,prod1
236,-6.4800935,157,-7.634018,prod1
237,-6.79443,157,-7.966548,prod1
238,-6.6064,157,-7.666274,prod1
239,-7.077484,157,-8.076435,prod1
240,-7.3214293,157,-8.2849455,prod1
241,-6.906927,157,-9.134693,prod1
242,-6.663055,157,-7.5040913,prod1
243,-6.3454404,157,-7.253065,prod1
244,-6.511959,157,-7.8443813,prod1
245,-6.515948,157,-6.353942,prod1
246,-6.5068107,157,-5.9360647,prod1
247,-6.539225,157,-6.1307945,prod1
248,-7.146706,157,-6.982643,prod1
249,-7.0859632,157,-7.460745,prod1
250,-7.0023437,157,-8.317175,prod1
251,-6.759209,157,-6.618565,prod1
252,-6.2913246,157,-7.8055344,prod1
253,-6.736636,157,-6.9890404,prod1
254,-6.648168,157,-6.7314315,prod1
255,-6.5200257,157,-6.6671224,prod1
256,-6.66825,157,-6.7225294,prod1
257,-7.048967,157,-6.8561673,prod1
258,-6.9463844,157,-7.302619,prod1
259,-7.3657875,157,-7.299784,prod1
260,-7.331801,157,-6.5178843,prod1
261,-6.4054503,157,-6.4958982,prod1
262,-7.030064,157,-6.9272556,prod1
263,-6.978863,157,-7.1331124,prod1
264,-7.1835165,157,-7.205197,prod1
265,-6.73483,157,-7.6411667,prod1
266,-6.311389,157,-6.453721,prod1
267,-5.3314657,157,-5.5115004,prod1
268,-6.2289925,157,-6.1904097,prod1
269,-6.49732,157,-6.3213387,prod1
270,-5.986676,157,-6.002943,prod1
271,-6.545447,157,-6.3014736,prod1
272,-6.4640837,157,-6.805673,prod1
273,-6.7795396,157,-7.734312,prod1
274,-7.738942,157,-7.5687537,prod1
275,-7.4343605,157,-7.56395,prod1
276,-7.257879,157,-7.357249,prod1
277,-7.028977,157,-7.064651,prod1
278,-6.7631454,76,14.257527,prod1
279,-6.805134,76,12.680718,prod1
280,-6.111209,76,12.422098,prod1
281,-6.866575,157,-7.7654657,prod1
282,-6.625396,157,-6.628974,prod1
283,-6.507796,157,-6.7690034,prod1
284,-6.147566,157,-5.9420733,prod1
285,-6.948517,157,-6.8964543,prod1
286,-7.059674,157,-7.8873677,prod1
287,-7.1667027,157,-8.29984,prod1
288,-7.030812,157,-8.013284,prod1
289,-7.245575,157,-8.448512,prod1
290,-6.6361146,157,-6.281523,prod1
291,-6.3971815,76,11.892879,prod1
292,-6.71825,76,11.598503,prod1
293,-6.5514464,157,-6.379216,prod1
294,-7.1498203,157,-6.81548,prod1
295,-7.1035395,157,-6.5855384,prod1
296,-6.938636,157,-6.672385,prod1
297,-6.363047,157,-6.308934,prod1
298,-6.7682047,10,-19.44849,prod1
299,-7.146707,10,-16.431482,prod1
300,-6.4046125,10,-14.89668,prod1
301,-6.1967926,10,-17.681614,prod1
302,-6.7109756,10,-21.040695,prod1
303,-6.924844,10,-21.094423,prod1
304,-6.606336,10,-20.979996,prod1
305,-6.9067636,10,-20.692669,prod1
306,-7.220421,10,-17.804724,prod1
307,-6.8386693,10,-19.610773,prod1
308,-6.9670396,10,-19.53676,prod1
309,-6.859054,10,-19.363419,prod1
310,-6.345153,10,-17.371962,prod1
311,-6.4679585,10,-16.247255,prod1
312,-7.0191994,10,-16.058294,prod1
313,-7.885631,10,-16.909674,prod1
314,-7.7280636,10,-21.273272,prod1
315,-7.893334,10,-19.632706,prod1
316,-7.3743157,10,-19.143528,prod1
317,-7.112806,10,-18.618332,prod1
318,-7.2604055,10,-18.43218,prod1
319,-7.488049,10,-16.503593,prod1
320,-7.7849174,10,-18.108458,prod1
321,-7.7505994,10,-20.514442,prod1
322,-8.364654,10,-17.336119,prod1
323,-7.872217,10,-18.287888,prod1
324,-6.701333,10,-18.5429,prod1
325,-7.616949,10,-18.519238,prod1
326,-7.6922536,10,-18.60467,prod1
327,-6.7227807,10,-18.660097,prod1
328,-7.044984,157,-6.708444,prod1
329,-6.4917274,157,-7.677323,prod1
330,-7.411987,157,-7.097724,prod1
331,-7.810151,157,-8.52408,prod1
332,-7.369442,157,-8.55024,prod1
333,-7.4575033,157,-8.428812,prod1
334,-7.6282663,157,-7.2486258,prod1
335,-7.4318514,157,-7.4653683,prod1
336,-6.7570615,157,-7.7137017,prod1
337,-7.2261505,157,-7.018226,prod1
338,-7.1916037,157,-7.1473765,prod1
339,-7.4688845,157,-7.4194117,prod1
340,-7.5791078,157,-8.757189,prod1
341,-7.8488226,157,-7.7381926,prod1
342,-7.144593,157,-7.07204,prod1
343,-7.548335,157,-7.1101427,prod1
344,-8.260239,157,-8.336334,prod1
345,-7.8177733,157,-7.8759193,prod1
346,-8.105264,157,-8.651387,prod1
347,-8.047695,157,-7.5679,prod1
348,-7.489505,157,-7.295311,prod1
349,-7.9823713,5,-22.39432,prod1
350,-7.664322,5,-21.457485,prod1
351,-8.006159,5,-22.370981,prod1
352,-8.34028,5,-19.088663,prod1
353,-8.274333,5,-20.305807,prod1
354,-8.942139,5,-23.027721,prod1
355,-9.126998,5,-20.643358,prod1
356,-8.829536,5,-20.730324,prod1
357,-8.9084,5,-20.322912,prod1
358,-8.472042,5,-20.977354,prod1
