Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
11,-8.775161,7.0,-14.870792,prod1,-6.1,12.26,3.93,-0.84,0.31,-2.35,0.7,0.44,0.39,1.11,1.69,1.14,0.78,0.4,0.49,0.21,0.78,-0.43,0.52,0.62,-0.1,0.39,0.53,-0.51,0.11,-0.24,0.59,-0.09,0.4,-0.39,0.15,0.79,-0.18,0.24,-0.03,-0.35,0.11,0.05,-0.43,0.04,0.26,-0.05,-0.01,0.12,-0.03,-0.19
12,-7.9964075,7.0,-13.804728,prod1,-5.81,11.74,3.64,-0.94,0.54,-2.1,0.55,0.44,-0.2,1.1,1.7,0.75,0.69,1.34,0.73,-0.28,0.34,-0.56,0.55,-0.07,0.58,-0.45,-0.64,0.15,-0.08,-0.47,0.44,0.01,0.18,-0.25,0.23,0.27,0.08,0.51,0.03,0.08,0.13,0.01,-0.02,0.07,0.06,-0.16,-0.08,-0.07,-0.06,0.09
13,-8.312177,7.0,-13.0587,prod1,-4.75,10.67,3.71,-0.98,0.2,-2.04,0.91,1.69,-0.56,1.11,1.42,0.63,0.89,0.64,1.39,0.23,0.38,-0.12,0.24,-0.0,-0.17,0.02,-0.93,0.2,0.54,-0.32,0.35,0.24,0.5,-0.51,-0.35,-0.19,0.55,0.09,0.34,-0.04,-0.32,-0.22,-0.29,0.02,-0.27,-0.06,-0.05,-0.14,-0.05,0.13
14,-8.016435,7.0,-12.511447,prod1,-4.5,10.31,4.31,-1.0,0.63,-1.98,0.69,0.99,-0.36,0.96,1.33,0.78,0.41,0.74,0.02,-0.18,-0.36,-0.3,0.65,-0.02,0.12,0.47,-0.36,0.59,0.37,-0.12,0.46,0.04,0.09,-0.55,-0.11,0.33,0.3,0.07,0.12,0.3,-0.28,0.12,-0.02,0.01,-0.12,-0.25,-0.06,-0.1,0.09,0.0
15,-8.030713,7.0,-12.788585,prod1,-4.76,11.36,3.78,-0.98,0.49,-2.21,0.74,1.38,-0.81,0.9,0.45,-0.74,-0.02,1.07,-0.4,-0.06,-0.45,-0.24,0.83,0.08,-0.04,-0.01,-0.61,0.14,-0.36,-0.35,0.08,0.41,0.54,-0.13,0.24,0.06,0.38,0.28,0.03,-0.2,-0.42,-0.41,0.06,0.05,-0.5,0.19,-0.05,-0.05,-0.01,-0.05
16,-7.7194695,7.0,-14.12074,prod1,-6.4,11.58,4.12,-1.04,0.37,-2.39,0.56,0.86,0.21,1.25,0.89,-0.15,0.49,0.02,0.08,0.15,0.56,-0.05,0.83,0.57,-0.03,-0.15,0.41,0.26,-0.17,-0.17,0.46,-0.11,0.55,-0.23,0.86,0.46,0.34,0.16,0.13,0.04,-0.34,0.08,0.36,-0.09,-0.27,0.09,0.09,-0.03,-0.01,-0.02
17,-7.844064,7.0,-13.544929,prod1,-5.7,11.97,4.23,-0.99,0.7,-3.04,1.03,0.97,-0.21,0.93,1.0,1.52,0.53,0.84,-0.08,0.58,1.02,-0.75,0.56,0.78,0.4,-0.12,-0.33,-0.02,0.14,-0.38,0.29,0.5,0.98,0.12,0.5,0.26,0.48,0.26,0.24,-0.46,-0.11,-0.37,0.42,0.1,-0.57,0.26,0.12,0.17,-0.09,-0.04
18,-7.470823,7.0,-14.318965,prod1,-6.85,9.99,3.89,-0.81,0.66,-2.62,0.97,0.48,-0.39,1.01,0.94,1.26,0.95,0.45,-0.25,0.89,-0.13,-0.51,1.57,0.75,0.56,-0.49,-0.62,0.67,-0.21,-0.06,0.24,1.0,1.24,0.26,0.83,0.74,0.04,0.13,0.23,-0.3,-0.6,-0.48,0.43,0.34,-0.79,0.25,0.06,0.05,0.01,-0.09
19,-7.3868637,7.0,-11.824114,prod1,-4.44,10.78,4.33,-0.8,0.35,-2.27,0.5,0.33,-0.27,1.38,1.09,0.28,0.13,0.86,0.03,0.18,-0.46,-0.13,1.08,0.66,0.28,-0.33,-0.59,0.51,-0.47,-0.09,0.3,0.28,0.73,0.0,0.33,0.39,0.17,0.37,0.61,-0.38,-0.15,-0.43,0.22,0.35,-0.28,0.06,0.17,-0.13,0.02,0.08
20,-7.2009635,7.0,-12.182282,prod1,-4.98,12.05,3.93,-0.99,0.28,-2.56,0.94,0.88,-0.28,1.03,1.31,0.52,0.7,0.09,0.54,0.71,-0.22,-0.52,0.8,0.65,0.2,0.05,-0.28,0.73,0.02,-0.29,0.39,-0.03,0.55,0.38,0.36,0.58,-0.07,-0.09,-0.4,-0.35,-0.27,-0.32,-0.03,0.12,-0.05,0.09,0.01,-0.15,-0.06,-0.05
