Frame,Z_coord_n1,na_res,Z_coord_na
0,-5.3721013,62,-19.686317
1,-5.642797,62,-19.503447
16,-7.1478767,195,-25.211632
17,-7.3869905,195,-22.672789
18,-7.1129804,195,-16.831648
19,-7.44094,195,-22.260515
44,-9.479758,142,-26.73663
49,-10.190018,142,-23.056055
50,-10.662023,142,-22.978857
51,-9.988823,142,-27.938095
52,-10.51636,142,-24.400543
53,-10.184562,142,-24.169
54,-10.861974,142,-27.052006
55,-10.500904,142,-25.979412
64,-9.907443,195,-23.540012
65,-9.503129,195,-22.463707
66,-10.232576,195,-25.917076
70,-9.919856,29,-26.228163
72,-9.849636,29,-24.252167
76,-11.1812315,219,-24.959776
77,-11.315562,29,-25.311369
78,-10.5215645,219,-27.143757
79,-9.999708,219,-24.281174
82,-10.651032,29,-26.552788
83,-10.676754,29,-25.68764
84,-10.952856,219,-29.313335
85,-10.57497,219,-28.200293
86,-10.536666,219,-24.225035
87,-10.154007,29,-27.824583
88,-9.83404,29,-29.189434
89,-9.767131,219,-18.989332
90,-9.405108,219,-18.900839
91,-9.0416765,219,-24.156458
92,-9.735256,219,-27.87065
100,-8.791668,15,-24.350353
109,-8.435376,15,-26.150831
110,-9.285829,15,-28.42952
116,-8.090689,15,-20.398335
117,-7.939572,15,-24.257175
123,-8.729839,8,-22.209818
124,-9.0356655,8,-22.128096
125,-9.171879,8,-20.719698
133,-8.554309,8,-25.760395
135,-8.839189,8,-21.587082
136,-8.495695,8,-23.401176
137,-9.014111,8,-28.413488
138,-9.685313,8,-23.308758
139,-9.079478,8,-25.293535
140,-10.009966,8,-22.075205
141,-10.027423,8,-24.11984
152,-10.328659,8,-27.051329
153,-9.658122,8,-20.627615
154,-10.049354,92,-25.19594
155,-9.973265,92,-25.420086
156,-9.749908,92,-25.9276
157,-9.704365,148,-21.947008
164,-9.241092,8,-28.123344
166,-9.668053,8,-20.6489
167,-9.83686,8,-20.661026
168,-9.192217,8,-18.617153
169,-9.323111,8,-20.14462
171,-10.371492,8,-22.184479
173,-10.048451,8,-25.689514
174,-10.459627,219,-22.69055
181,-10.642947,8,-28.303453
182,-10.277241,8,-20.196363
183,-10.143954,8,-20.601198
184,-9.671782,8,-17.927256
185,-9.421076,8,-19.049303
186,-9.952283,8,-19.915327
187,-9.914104,8,-21.464994
188,-10.749188,8,-20.70685
189,-9.951899,8,-23.312283
191,-9.80771,8,-27.541948
192,-10.120469,8,-25.739222
193,-10.373456,8,-27.415249
194,-11.102448,130,-26.615515
195,-10.599367,8,-28.01733
217,-8.068059,225,-22.57062
220,-8.087033,55,-24.345205
221,-8.978171,55,-18.21338
222,-8.601866,55,-19.023413
223,-8.621618,55,-17.41676
224,-8.223106,55,-18.782244
225,-7.964688,55,-17.275229
226,-8.260677,55,-19.145222
227,-7.9322705,55,-18.475063
228,-8.287153,55,-23.991833
229,-8.18839,55,-20.053185
230,-9.127817,55,-23.688274
246,-8.255137,55,-21.329063
247,-9.378358,55,-22.481955
248,-9.383719,55,-23.772242
249,-9.095969,15,-26.368795
250,-9.368449,55,-23.118048
251,-9.902866,55,-23.442596
252,-9.390097,55,-23.406244
253,-9.363719,55,-22.54324
254,-9.004235,84,-28.150026
255,-8.592265,55,-23.005194
257,-9.265302,55,-23.991339
258,-9.302002,55,-21.762133
264,-9.295288,2,-28.224321
266,-8.802253,2,-23.354614
267,-8.836969,2,-22.555285
268,-9.342722,2,-23.305786
269,-9.2449465,2,-19.81557
270,-8.565929,2,-17.920834
271,-9.38498,2,-15.839702
272,-9.138904,2,-16.755955
273,-9.51024,2,-16.406647
274,-9.947313,2,-18.625364
275,-9.86441,2,-19.332495
276,-10.295342,2,-19.633162
277,-9.234381,2,-27.4313
278,-9.7469225,55,-23.664011
279,-9.893854,55,-25.303495
284,-10.346346,115,-26.612114
289,-8.681863,2,-20.2474
290,-9.560861,2,-20.30185
296,-9.902677,2,-27.554161
304,-7.7049317,84,-22.228184
306,-8.319246,84,-24.188377
307,-8.201981,84,-22.422575
311,-8.513462,84,-22.521538
312,-8.490888,84,-18.454576
313,-7.504379,84,-12.242484
314,-8.563296,84,-15.262554
315,-8.45953,84,-14.147979
316,-8.484219,84,-24.000912
317,-9.230975,84,-15.411152
318,-10.071518,84,-16.553385
319,-9.349161,84,-17.684496
320,-9.074268,84,-22.047556
321,-8.696906,84,-26.833881
322,-8.914143,84,-24.931322
323,-8.827755,84,-24.983967
324,-9.825434,84,-27.065464
331,-9.423926,115,-27.79997
332,-9.363158,115,-22.570335
334,-9.16992,115,-26.38843
338,-9.329148,80,-21.219069
339,-9.137128,80,-17.439981
340,-9.498427,80,-16.882912
341,-8.75856,80,-14.674789
342,-9.246433,80,-14.268231
343,-8.432668,80,-14.651382
344,-8.920495,80,-10.2984705
345,-9.212328,80,-12.548466
346,-8.9264345,80,-12.986095
347,-8.990264,80,-16.441519
348,-8.302466,80,-14.114072
349,-9.056581,80,-17.916872
350,-8.546335,80,-13.878394
351,-8.464042,80,-15.470271
352,-8.729814,80,-19.177597
353,-8.70691,80,-12.68193
354,-8.923029,80,-16.767023
355,-9.295187,80,-15.625007
356,-9.232271,80,-20.04969
357,-9.6120615,80,-16.537437
358,-8.811623,80,-16.964537
359,-9.10434,80,-16.899923
360,-9.550091,80,-17.383791
361,-10.031314,80,-23.135666
362,-10.353825,80,-25.579515
365,-10.144544,80,-29.834717
381,-10.515155,189,-24.157032
394,-9.964657,189,-25.931505
395,-9.93485,189,-20.790316
396,-8.921593,189,-19.06894
397,-9.16844,189,-18.021881
398,-8.396315,189,-19.73277
399,-8.724072,189,-22.11562
