Frame,Z_coord_n1,na_res,Z_coord_na
0,-5.17871,129,-11.3967085
1,-5.3266006,129,-9.762874
2,-5.399047,129,-10.433371
4,-5.9399037,129,-13.8024435
5,-5.1962037,129,-12.378812
6,-5.7861304,129,-12.9478445
7,-5.315967,129,-10.5791235
8,-5.330787,129,-10.985535
9,-5.5941525,3,-18.64288
10,-5.5896416,3,-21.264875
11,-5.8871794,3,-20.645723
12,-5.640658,3,-20.564701
13,-6.3131075,3,-22.248137
14,-5.686309,129,-13.561878
15,-6.006297,3,-22.868979
16,-5.5051503,129,-18.473576
17,-5.596151,129,-19.559814
18,-5.8286347,129,-9.980614
19,-5.637647,3,-21.820292
20,-5.2391524,3,-21.030256
21,-4.7415714,129,-13.224855
22,-4.5596704,3,-21.707636
23,-4.1173105,3,-21.232546
24,-4.6798296,3,-19.318071
25,-4.757433,3,-14.156672
26,-4.4239945,3,-16.197323
27,-4.7621055,3,-15.125974
28,-4.1175876,3,-14.063544
29,-4.603059,3,-13.060242
30,-3.8505597,3,-12.666582
31,-4.33699,3,-12.971683
32,-5.113823,3,-12.197858
33,-4.63107,3,-9.971184
34,-3.7212136,3,-10.490738
35,-4.2211304,3,-10.740073
36,-4.401582,3,-11.621143
37,-4.957703,3,-8.566998
38,-5.3882575,3,-8.9556875
39,-5.4975576,3,-9.046174
40,-5.205742,3,-8.3246765
41,-5.451624,3,-8.884745
42,-5.256832,3,-10.13176
43,-4.459787,3,-9.069694
44,-5.8120303,3,-12.360491
45,-5.419641,3,-17.307243
46,-4.29215,3,-15.707023
47,-4.8989506,3,-18.965975
48,-5.5227437,3,-23.426664
49,-5.8020763,3,-21.510326
50,-5.2115602,3,-16.662498
51,-5.648004,3,-20.586811
59,-4.147832,3,-19.736744
62,-5.606691,157,-22.10899
63,-4.8881016,157,-18.72559
64,-4.695732,157,-17.534399
65,-5.514949,157,-17.254282
68,-5.1640396,3,-24.878529
69,-5.4118032,3,-24.794449
70,-5.3433323,3,-17.242762
71,-4.9049206,3,-17.685165
73,-5.033488,3,-19.785507
74,-5.845435,3,-14.872307
75,-5.516006,3,-10.006372
76,-5.8537045,3,-11.944653
77,-5.3767214,3,-11.386046
78,-5.983034,3,-16.200472
79,-4.991594,3,-15.4415045
80,-4.836414,3,-17.12979
81,-5.0081754,3,-16.240103
82,-5.573878,129,-23.652088
98,-5.9302554,214,-23.904621
102,-5.030451,157,-19.102339
103,-4.9328575,157,-18.644548
104,-4.62145,157,-18.139359
108,-5.258367,68,-22.982035
116,-4.663095,28,-19.444067
117,-4.4115252,28,-17.643812
118,-4.869864,68,-17.616652
119,-4.943027,68,-22.662796
121,-4.969321,28,-19.875889
122,-4.832705,28,-17.865082
123,-5.6811976,28,-18.947662
124,-5.4458685,28,-22.324583
128,-5.5052404,28,-19.516972
134,-5.161508,28,-24.588255
138,-5.9415298,140,-22.208345
139,-4.901586,140,-17.557186
144,-5.222894,140,-17.443636
145,-5.622809,140,-14.299297
146,-5.455487,140,-11.157997
147,-6.0808673,140,-15.03105
148,-5.820771,140,-13.7338
149,-5.9898057,140,-22.65901
150,-5.738318,140,-11.48769
151,-4.9166684,140,-12.056111
152,-5.4403934,140,-13.586813
153,-5.443107,140,-16.540314
154,-6.2325172,140,-13.572638
155,-6.126646,140,-12.702814
156,-6.0900836,140,-14.061578
157,-6.05247,140,-17.429344
158,-6.36992,140,-19.430029
159,-6.973445,28,-24.281702
160,-6.729686,28,-21.251535
161,-7.2052784,28,-18.726906
162,-6.5847163,28,-19.98111
171,-7.332106,140,-21.399406
172,-5.9708195,140,-19.271193
173,-6.472244,140,-20.28408
174,-6.212529,140,-21.050055
175,-6.200721,140,-19.628119
176,-6.310728,140,-19.820368
177,-6.0465884,140,-23.84405
178,-6.6869736,140,-18.657005
179,-6.3562136,28,-21.650337
180,-6.683415,28,-23.886536
181,-7.2298937,28,-18.951866
182,-7.148358,28,-18.593058
183,-7.8686295,28,-25.421637
184,-7.2698874,28,-18.84726
185,-8.389365,28,-22.497812
186,-8.020418,28,-24.763554
187,-7.99379,28,-19.442251
188,-7.834809,28,-14.407254
189,-7.5329037,28,-17.594408
190,-7.7439575,28,-22.935715
192,-8.223463,34,-24.39128
193,-7.9394407,28,-22.663103
194,-7.7069736,28,-18.778746
195,-8.298815,28,-17.240786
196,-8.442779,28,-14.345603
197,-8.49887,28,-18.674921
198,-7.995445,28,-11.164325
199,-8.638954,28,-10.67215
200,-8.101529,28,-10.510334
201,-8.735895,28,-10.883068
202,-8.942438,28,-11.728072
203,-9.377366,28,-11.769808
204,-9.089221,28,-11.409886
205,-9.255548,28,-11.906222
206,-9.383597,28,-12.368001
207,-10.024742,28,-12.4795
208,-9.750513,28,-12.726481
209,-10.034402,28,-21.224333
210,-9.81671,28,-26.77756
213,-10.103661,28,-22.299898
214,-9.783937,28,-17.998083
215,-9.817349,28,-18.05833
216,-9.398336,28,-16.61754
217,-9.62594,28,-18.030695
218,-8.924484,28,-17.540865
219,-9.13471,28,-14.8762665
220,-9.306937,28,-14.740063
221,-9.590682,28,-21.98364
222,-9.882766,28,-21.96801
223,-9.894669,28,-21.328035
224,-9.211061,28,-19.783566
225,-10.205685,28,-18.199976
226,-10.150937,28,-25.588408
227,-9.737143,28,-23.782991
228,-10.215228,28,-24.738415
229,-9.396596,28,-21.818033
230,-10.058972,28,-24.80832
231,-9.501128,28,-22.386427
232,-9.752829,28,-25.867397
233,-10.046076,28,-20.126514
234,-9.700817,28,-18.904442
235,-10.606168,28,-17.976301
236,-10.854621,28,-19.672113
237,-10.679504,28,-23.039524
238,-10.5325775,28,-19.4468
239,-11.072037,28,-18.149628
240,-10.777679,28,-18.72003
241,-10.737854,28,-20.93592
242,-10.697366,28,-24.510206
243,-10.905118,217,-26.766674
244,-10.575289,217,-24.571672
245,-10.746251,28,-23.514967
246,-11.037473,217,-20.104454
247,-10.555001,217,-24.590004
248,-11.311656,217,-24.903965
249,-11.3614645,217,-27.808859
250,-11.118605,34,-25.695944
251,-10.451189,34,-21.105734
252,-10.554028,66,-29.353073
253,-10.21059,66,-25.233051
254,-11.133534,66,-25.542912
255,-10.205434,66,-23.018751
256,-9.915442,66,-20.42537
257,-9.894043,34,-27.793566
258,-10.3898325,66,-17.275646
259,-10.870832,66,-17.633732
260,-10.059937,66,-21.403131
261,-10.322901,66,-27.56205
262,-10.244474,211,-27.873219
263,-9.847089,211,-25.28998
264,-9.802704,217,-28.911457
266,-9.841008,66,-25.245703
267,-9.919322,217,-20.030804
268,-10.246711,66,-25.791012
269,-11.009001,217,-21.205624
270,-10.599105,66,-28.405329
271,-10.743143,66,-25.308918
272,-11.062264,197,-26.73367
273,-10.754851,66,-22.149616
274,-10.076191,66,-26.846163
275,-9.792836,66,-25.91853
276,-9.723018,217,-14.574574
277,-9.56014,217,-17.380886
278,-9.594068,217,-17.232944
279,-9.430705,217,-17.567343
280,-9.756021,217,-16.305626
281,-10.086198,217,-11.202755
282,-9.827125,66,-24.587925
283,-9.6641865,66,-26.444206
284,-9.93243,217,-11.810174
285,-10.183048,217,-11.517462
286,-10.435203,197,-28.662851
287,-10.392448,217,-12.308638
288,-10.154225,217,-11.874872
289,-11.055978,3,-23.310574
290,-10.861602,3,-22.914522
291,-10.390446,217,-12.077932
292,-10.857704,217,-12.491544
293,-9.357182,217,-11.70844
294,-10.199754,217,-11.535692
295,-10.377526,217,-11.826702
296,-10.229674,217,-12.10519
297,-9.952234,217,-11.120868
298,-10.176441,217,-11.419955
299,-9.897081,217,-11.013135
300,-9.555164,217,-11.470409
301,-9.004487,217,-10.947642
302,-9.467905,3,-22.463793
303,-8.773276,217,-10.465497
304,-9.186665,3,-25.334265
305,-8.85883,217,-10.305721
306,-9.24518,217,-10.730126
307,-9.40896,217,-10.245012
308,-9.189874,217,-16.184118
309,-9.14159,217,-21.817533
310,-9.73801,217,-17.821766
311,-9.601474,217,-28.149218
314,-9.21683,217,-17.328688
315,-9.514177,3,-26.80069
316,-8.977576,3,-20.119822
317,-9.471406,3,-24.358456
318,-9.486965,3,-22.937849
319,-9.15797,3,-22.16979
320,-9.504076,3,-23.929108
321,-9.624091,3,-21.865484
322,-9.188228,3,-23.415771
323,-8.708941,3,-19.375694
324,-8.740796,217,-22.483404
325,-9.021383,3,-23.484375
326,-8.828897,3,-20.38215
327,-9.710982,3,-19.505949
328,-9.521815,3,-19.462036
329,-8.99597,3,-23.336351
330,-8.819784,217,-14.658062
331,-8.331837,217,-15.022598
332,-9.225868,217,-13.375195
333,-8.669235,3,-22.8938
334,-8.802293,3,-24.549805
335,-8.4655285,3,-19.363932
336,-7.908803,3,-22.708002
337,-8.474628,3,-22.612526
338,-7.8892083,217,-13.854187
339,-8.356419,217,-20.538002
341,-8.390579,3,-23.88653
342,-8.57242,3,-19.702208
343,-8.866999,3,-18.39606
344,-8.845977,3,-19.68309
345,-8.701176,3,-21.54722
346,-9.1200285,3,-23.443535
349,-8.774375,3,-24.866585
350,-7.962967,3,-18.791407
351,-8.841877,3,-19.084053
352,-8.295202,3,-17.500347
353,-7.823794,3,-22.610744
354,-7.2517185,3,-17.018291
355,-7.4175854,3,-18.43596
356,-7.607521,3,-21.35196
357,-7.8759456,3,-24.425505
358,-7.6579795,3,-18.104263
359,-7.870645,3,-18.171068
360,-7.840231,3,-18.856646
361,-8.245167,3,-19.182686
362,-7.6169405,3,-18.388885
363,-8.0975,3,-19.745676
364,-8.814822,3,-19.928425
365,-8.160494,3,-20.682901
366,-8.150289,3,-18.543108
367,-7.8208528,124,-22.80072
374,-8.80466,57,-22.418896
375,-8.975142,57,-18.291124
376,-7.9079823,57,-17.382473
377,-8.340138,57,-20.421225
378,-8.255257,57,-20.231863
379,-8.258999,57,-18.32103
380,-8.232104,57,-20.16792
381,-8.093408,57,-24.520706
382,-8.239846,57,-23.7763
383,-7.576554,57,-22.358652
384,-7.40113,3,-24.082449
385,-7.2398148,3,-17.669365
386,-8.459034,3,-20.42883
387,-7.9724846,3,-22.049452
388,-7.8928113,3,-19.953524
389,-8.229483,3,-18.036213
390,-7.991976,3,-19.802158
391,-8.630607,3,-17.854393
392,-8.766867,3,-23.691135
397,-8.711825,3,-25.245218
398,-8.582324,3,-23.252794
399,-9.037171,57,-21.613298
