Frame,Z_coord_n1,na_res,Z_coord_na,prod
550,-3.0007193,163,11.73099,prod2
551,-3.3411438,163,8.343195,prod2
552,-2.759573,72,-21.992195,prod2
553,-2.6829429,163,9.097879,prod2
554,-3.3382692,163,9.738651,prod2
555,-3.2112489,163,10.635841,prod2
556,-3.3032932,163,9.771265,prod2
557,-3.5375028,163,8.189904,prod2
558,-2.7839186,163,9.119205,prod2
559,-2.9305227,163,8.058044,prod2
560,-3.4266791,163,8.126945,prod2
561,-3.4101245,163,7.7863917,prod2
562,-2.844568,163,10.922026,prod2
563,-2.4798625,163,6.1097918,prod2
564,-3.030332,163,8.640948,prod2
565,-2.3168547,163,9.619668,prod2
566,-2.6199868,163,11.488971,prod2
567,-3.0285685,163,8.581983,prod2
568,-2.2604272,163,10.008307,prod2
569,-2.9310117,163,11.27616,prod2
570,-2.3290653,163,9.600104,prod2
571,-2.515048,163,8.1341,prod2
572,-3.0815418,163,9.56477,prod2
573,-2.3294592,163,10.5379505,prod2
574,-2.8193774,163,10.308698,prod2
575,-3.4271302,163,7.7468553,prod2
576,-2.9323492,163,9.6225605,prod2
577,-3.3312466,163,5.645924,prod2
578,-2.9752073,163,7.9371,prod2
579,-3.1960487,163,8.679899,prod2
580,-3.8731093,163,8.013087,prod2
581,-3.2999005,163,7.7214503,prod2
582,-3.113988,163,5.602343,prod2
583,-3.5401156,163,7.913908,prod2
584,-2.8672435,163,9.062187,prod2
585,-2.9237309,163,9.791117,prod2
586,-3.227592,163,8.858124,prod2
587,-2.6787305,163,8.479544,prod2
588,-2.4876919,163,9.562636,prod2
589,-2.5622106,163,9.554787,prod2
590,-3.0370636,163,8.688357,prod2
591,-3.1394434,163,9.209915,prod2
592,-2.81412,163,8.042874,prod2
593,-2.674429,163,11.052857,prod2
594,-2.374621,163,11.194626,prod2
595,-2.6542964,163,6.383497,prod2
596,-1.7869239,163,8.302992,prod2
597,-1.8411361,163,9.677274,prod2
598,-2.190682,163,11.895702,prod2
599,-1.542136,163,10.178662,prod2
600,-1.6870246,163,11.974942,prod2
601,-2.4580543,163,10.1131115,prod2
602,-2.0067654,163,11.257447,prod2
603,-2.350746,163,14.30133,prod2
604,-2.4229155,163,14.404985,prod2
605,-2.5444045,163,14.298817,prod2
606,-2.1347804,163,14.121375,prod2
607,-2.357496,163,14.325238,prod2
608,-1.1694709,163,14.779325,prod2
609,-2.4392133,163,13.588725,prod2
611,-2.1628542,163,14.307967,prod2
613,-1.7722517,143,-13.950123,prod2
614,-1.5601209,163,14.314831,prod2
619,-3.2423778,48,-18.28439,prod2
620,-3.492868,81,-18.592335,prod2
625,-2.6873147,81,-18.491858,prod2
626,-2.864341,81,-16.80406,prod2
627,-2.7730331,81,-16.984623,prod2
628,-2.7793813,81,-20.88076,prod2
629,-2.2591965,81,-17.769388,prod2
630,-2.8299894,81,-22.561539,prod2
631,-3.3548675,81,-13.951742,prod2
633,-2.2049735,81,-19.633993,prod2
634,-2.7444813,81,-20.884432,prod2
635,-2.0140672,163,17.902445,prod2
636,-1.774306,163,18.32818,prod2
637,-2.1535203,163,17.804373,prod2
642,-4.449769,81,-18.44326,prod2
643,-4.368076,42,-23.52209,prod2
673,-4.2840967,225,-20.710325,prod2
674,-3.9529688,225,-21.878088,prod2
680,-3.2700891,225,-20.632425,prod2
712,-3.472655,156,-22.360992,prod2
713,-4.242418,156,-18.020247,prod2
714,-3.9299266,156,-17.592375,prod2
715,-3.7792013,156,-18.774542,prod2
716,-3.8266864,156,-21.514715,prod2
727,-4.1362944,156,-19.597328,prod2
728,-4.895604,156,-20.99278,prod2
742,-5.8937645,156,-20.70551,prod2
766,-6.920675,36,-21.309908,prod2
770,-6.840778,36,-24.033394,prod2
771,-6.802752,36,-22.923311,prod2
804,-6.1321816,231,-23.730047,prod3
805,-6.1130896,231,-23.743193,prod3
816,-6.346338,231,-23.749352,prod3
817,-5.428043,231,-22.329742,prod3
822,-5.669244,231,-20.493393,prod3
823,-5.0893974,231,-18.891771,prod3
878,-4.3354783,53,-17.769161,prod3
879,-5.0470104,53,-16.109644,prod3
880,-4.379157,53,-18.06744,prod3
881,-4.43872,53,-18.885849,prod3
882,-4.164377,53,-15.760919,prod3
883,-4.409525,53,-19.768291,prod3
958,-5.5687532,61,-24.49075,prod3
959,-4.563727,61,-22.7602,prod3
960,-3.7305486,61,-19.798883,prod3
964,-4.4543934,61,-19.209225,prod3
965,-4.540392,61,-19.02516,prod3
966,-4.7480774,61,-20.427637,prod3
974,-4.060965,61,-19.360636,prod3
975,-4.069497,167,-18.862028,prod3
977,-3.9544287,243,-18.783472,prod3
978,-4.02722,243,-16.034683,prod3
979,-4.248413,243,-19.108501,prod3
980,-4.50812,243,-18.291445,prod3
983,-5.4352717,61,-18.684381,prod3
984,-5.819308,61,-17.958082,prod3
996,-4.9302382,61,-15.784074,prod3
997,-4.655439,61,-19.174196,prod3
998,-4.929827,61,-17.415552,prod3
999,-5.6349125,61,-16.17744,prod3
1002,-5.581714,61,-16.746923,prod3
1023,-4.811786,243,-21.719076,prod3
1024,-4.587196,243,-18.987143,prod3
1025,-4.0056906,243,-19.081995,prod3
1026,-5.126289,243,-18.956743,prod3
1028,-4.967237,243,-17.469812,prod3
1029,-4.4809885,243,-17.875486,prod3
1033,-3.8928528,167,-22.063265,prod3
1035,-4.1263723,167,-19.040684,prod3
1036,-3.887645,167,-18.822678,prod3
1048,-1.8664433,243,-19.607504,prod3
1051,-0.8359617,167,-15.630037,prod3
1052,-2.2232141,167,-14.676949,prod3
1053,-2.143504,167,-19.97823,prod3
1054,-2.5224066,246,-21.6842,prod3
1055,-2.5926983,61,-16.44732,prod3
1058,-1.9551927,167,-19.460049,prod3
1059,-2.2241564,167,-16.72915,prod3
1062,-2.1599064,243,-20.216747,prod3
1063,-1.5437167,243,-19.879261,prod3
1065,-3.134792,243,-19.282875,prod3
1074,-3.0210419,243,-19.006393,prod3
1076,-2.6072412,243,-21.14472,prod3
1078,-2.3849812,243,-18.224232,prod3
1080,-2.9759738,167,-13.241151,prod3
1081,-3.621894,167,-13.696004,prod3
1082,-3.0596418,167,-14.430632,prod3
1083,-3.0085673,167,-11.826773,prod3
1084,-2.7754602,167,-14.84938,prod3
1085,-2.7326448,167,-20.129915,prod3
1091,-2.4470465,121,-19.27487,prod3
1092,-2.2813776,121,-19.759354,prod3
1097,-1.8836308,246,-19.78128,prod3
1099,-2.4673781,246,-19.866297,prod3
1103,-3.227546,246,-20.931477,prod3
1105,-3.0067885,121,-16.290876,prod3
1114,-1.6341248,251,-16.48869,prod3
1115,-1.5954157,251,-16.467976,prod3
1128,-1.0923629,246,-19.169907,prod3
1130,-0.8034559,246,-14.479053,prod3
1131,-1.2233692,246,-18.567352,prod3
1132,-1.5351721,246,-20.226751,prod3
1138,-0.7381771,246,-19.009361,prod3
1140,-0.47424918,246,-15.5698185,prod3
1141,-0.027503073,246,-13.283435,prod3
1142,0.74947953,246,-16.031908,prod3
1143,0.37028176,246,-15.44001,prod3
1144,-0.013791781,246,-15.421422,prod3
1145,-0.058213145,246,-14.341724,prod3
1146,0.47604442,251,-16.653378,prod3
1147,-0.53877896,251,-13.681574,prod3
1148,-0.7308554,246,-19.63721,prod3
1163,-1.062376,249,-20.115107,prod3
1164,-0.046629958,249,-15.631619,prod3
1219,0.3566314,118,-10.426764,prod4
1220,0.6789044,118,-10.4587345,prod4
1221,1.1179132,118,-10.717893,prod4
1222,1.5530753,118,-9.506951,prod4
1223,0.9807423,118,-10.145611,prod4
1224,1.2139707,118,-9.945556,prod4
1225,1.5440774,118,-8.559913,prod4
1226,0.35089955,118,-10.54121,prod4
1227,0.3595644,118,-10.513696,prod4
1228,0.024381455,118,-11.1068325,prod4
1229,0.19221012,118,-12.002782,prod4
1230,-0.32522,118,-11.354502,prod4
1231,-0.30983922,118,-12.003474,prod4
1233,-0.25659966,118,-10.816821,prod4
1234,-0.03398788,118,-10.010299,prod4
1235,1.0804887,118,-9.505736,prod4
1236,0.6263577,118,-10.198492,prod4
1242,-0.2817601,61,-17.758595,prod4
1243,-0.35066614,249,-14.201391,prod4
1244,0.2795608,249,-15.298379,prod4
1245,-1.1094632,61,-17.407055,prod4
