Frame,Z_coord_n1,na_res,Z_coord_na
2,-7.052092,101,-19.415134
3,-7.7872024,101,-20.117615
4,-8.17811,101,-20.848326
5,-7.5346074,101,-25.980936
6,-7.8076053,101,-24.205656
7,-7.9286766,101,-22.631971
9,-7.248242,60,-25.359331
10,-7.314736,60,-25.992071
11,-7.347083,160,-22.981592
12,-7.838747,60,-24.804256
14,-7.6601787,60,-19.314407
16,-8.224168,60,-25.161118
17,-8.170045,60,-26.174067
18,-8.333056,160,-22.104792
19,-8.089882,160,-22.235224
23,-8.906762,60,-20.952017
24,-8.331378,60,-18.059002
25,-9.213204,60,-26.742128
26,-8.868102,60,-19.911861
27,-8.850796,60,-17.419302
28,-8.744667,60,-21.138111
37,-8.718281,10,-24.371008
38,-8.754667,209,-19.739178
40,-9.2745285,10,-27.763498
44,-9.516057,10,-26.722033
45,-8.630621,209,-22.098259
46,-9.3220625,10,-23.97366
61,-9.064682,58,-27.180445
63,-9.146473,58,-23.271412
64,-8.673468,58,-25.208767
65,-8.996795,58,-24.124792
66,-8.330088,58,-25.263866
67,-8.460921,58,-25.378145
68,-8.514598,58,-25.548523
69,-8.398744,58,-21.796543
70,-9.07267,58,-22.735352
71,-8.453049,58,-23.177488
72,-8.763141,58,-23.605791
73,-9.150441,58,-23.925568
74,-9.319991,58,-21.789196
75,-9.730167,58,-20.42983
76,-9.841589,58,-18.745295
77,-9.280885,58,-15.444599
78,-9.294629,58,-15.413969
79,-8.939157,58,-15.13572
80,-9.448494,58,-13.590683
81,-8.994473,58,-15.084281
82,-8.932989,58,-14.2506075
83,-8.460096,58,-13.775043
84,-9.135427,58,-15.028333
85,-8.454388,58,-14.340854
86,-8.942913,58,-15.165183
87,-8.415451,10,-26.741432
88,-8.815209,58,-20.619772
89,-9.498294,58,-19.912142
90,-9.106412,58,-19.99177
91,-9.343989,58,-18.178883
92,-8.706241,34,-25.429846
93,-8.805796,34,-24.145061
94,-8.590848,34,-22.555956
95,-8.173321,34,-21.057915
96,-8.437244,58,-16.328037
97,-8.527866,34,-25.972422
98,-8.761622,58,-22.03147
99,-8.627249,34,-26.135513
100,-9.510953,58,-19.196695
101,-9.486366,34,-24.857609
102,-9.195861,34,-26.047047
103,-9.064518,34,-24.821087
104,-10.202184,34,-25.189028
105,-9.733497,34,-24.07848
106,-9.1314125,34,-23.895014
107,-8.678813,34,-24.41764
108,-9.482755,34,-25.577024
109,-9.278491,34,-25.728788
110,-9.16399,34,-25.377895
111,-9.458655,34,-25.106234
112,-9.824474,58,-22.964857
113,-9.76451,34,-25.54296
114,-9.909399,34,-25.366388
116,-9.674548,103,8.403784
117,-9.337198,103,8.743091
119,-9.3866625,34,-24.702631
120,-9.615132,34,-26.079012
123,-10.377837,34,-25.948006
124,-10.720544,34,-26.822227
127,-10.759535,34,-26.887482
137,-9.462297,103,11.542269
143,-9.62744,103,11.279602
145,-9.656872,103,12.735065
146,-9.855938,58,-26.666735
147,-9.594933,58,-25.962305
148,-9.045586,58,-24.420149
149,-9.424321,58,-24.00719
150,-9.950267,58,-24.105343
151,-10.065692,58,-25.194935
153,-10.086694,93,-23.20808
154,-10.259714,93,-24.373882
158,-9.846424,93,-26.502089
159,-9.664579,93,-24.297508
160,-9.321839,93,-23.624748
161,-9.719365,93,-23.853817
162,-9.206663,93,-24.12676
163,-8.576798,93,-26.520624
164,-8.954543,93,-22.827797
165,-9.036925,93,-23.680403
168,-9.3939705,93,-20.122213
169,-9.412478,93,-20.595911
170,-8.912621,93,-19.715773
171,-9.142668,93,-22.706362
172,-8.817606,93,-20.651274
174,-8.784396,93,-21.248724
175,-9.299533,182,-24.749472
176,-9.073826,93,-21.247671
177,-9.578519,93,-20.942366
178,-9.401625,182,-25.35217
179,-10.163459,93,-24.161331
180,-9.929241,93,-22.803043
181,-9.802541,93,-23.953007
182,-9.5691,93,-22.075338
183,-9.733562,93,-21.611027
184,-9.615252,93,-22.150568
185,-9.917534,93,-21.1125
186,-9.937892,93,-21.77728
187,-9.176926,93,-22.831154
188,-9.481592,93,-21.632832
189,-9.137192,93,-24.820478
190,-9.487406,93,-24.143156
191,-9.51525,93,-22.81679
194,-9.984428,93,-25.54629
195,-8.778633,93,-25.08615
196,-9.804286,93,-24.109497
197,-9.783425,93,-27.355871
198,-9.744,93,-25.582895
199,-9.0918455,93,-26.045296
209,-9.90365,93,-27.39574
212,-9.88725,93,-24.423534
213,-9.214084,93,-23.016731
214,-9.544065,93,-24.091427
217,-8.554213,93,-24.51361
225,-9.631084,139,-24.66313
226,-9.611573,139,-25.568428
227,-9.457002,139,-23.847864
228,-10.358839,139,-24.846956
237,-10.018513,44,10.587141
240,-10.555142,93,-22.20194
241,-10.750452,93,-22.975464
242,-10.621122,93,-21.673069
243,-10.653552,93,-22.78411
244,-10.7646475,93,-22.527538
246,-10.5558195,93,-23.050165
249,-10.678624,93,-26.590485
251,-11.083341,93,-24.970922
252,-10.784975,93,-24.661266
254,-11.112689,93,-23.238413
255,-11.396937,70,6.9974847
256,-9.992203,93,-22.426981
257,-11.319528,93,-23.426722
258,-11.003378,93,-23.111357
259,-11.367388,93,-22.718178
260,-11.790395,93,-23.580675
261,-11.036272,93,-24.106895
262,-11.049096,93,-24.950306
263,-11.2465105,93,-24.748764
264,-11.097493,93,-25.577606
265,-11.815773,93,-25.31231
266,-11.926481,93,-24.676498
267,-12.457047,93,-24.44037
268,-12.032733,93,-26.250006
291,-10.21976,156,-24.870852
292,-10.541735,156,-23.348797
293,-10.213119,156,-23.04737
294,-9.652225,156,-24.010263
306,-9.070843,139,-23.017738
315,-9.894514,139,-25.636114
317,-9.719796,139,-24.91009
318,-9.889172,139,-21.760319
319,-9.591735,139,-20.879986
320,-9.435707,139,-21.09647
321,-9.243003,139,-22.183691
322,-8.961161,139,-24.532476
323,-8.939233,139,-25.383469
328,-10.50936,139,-24.912798
330,-10.447348,115,-21.334446
331,-10.4515,115,-20.946625
332,-11.222962,115,-21.893183
333,-11.61459,29,-23.663057
334,-11.053574,115,-21.157503
335,-10.743382,115,-20.895258
336,-10.865684,115,-20.53796
337,-10.796316,115,-20.381594
338,-10.563144,207,-24.108515
339,-10.444036,207,-25.555365
340,-10.57172,115,-21.161974
341,-10.597565,115,-21.190226
342,-10.377852,115,-20.99521
343,-10.764563,115,-19.796478
344,-10.790702,115,-20.819796
345,-10.344905,115,-20.707499
