Frame,Z_coord_n1,na_res,Z_coord_na,prod
161,-10.260544,8,-24.232273,prod1
162,-10.105666,8,-23.062088,prod1
163,-10.527088,8,-24.33074,prod1
164,-9.698742,8,-24.35735,prod1
165,-10.284395,8,-24.755836,prod1
166,-9.847114,8,-20.06931,prod1
167,-9.670211,8,-20.957027,prod1
168,-9.572628,8,-20.912561,prod1
169,-10.27332,8,-21.32951,prod1
170,-9.547331,8,-24.969965,prod1
171,-10.883017,8,-24.2909,prod1
172,-10.920816,8,-21.55119,prod1
173,-10.453091,8,-21.854939,prod1
174,-9.979159,8,-21.187283,prod1
175,-10.350291,8,-21.750484,prod1
176,-10.875782,8,-22.650845,prod1
177,-10.551845,8,-19.611162,prod1
178,-10.471434,8,-22.258785,prod1
179,-10.483464,8,-21.2379,prod1
180,-10.978858,8,-22.164742,prod1
181,-10.943565,8,-21.323523,prod1
182,-10.432339,8,-23.453264,prod1
183,-10.271384,8,-21.064318,prod1
184,-11.129654,8,-21.301628,prod1
185,-10.665692,8,-20.808178,prod1
186,-11.595627,8,-25.835968,prod1
187,-10.835897,8,-24.041328,prod1
188,-11.466089,8,-24.501297,prod1
189,-11.466213,8,-27.430822,prod1
190,-11.712833,8,-28.647793,prod1
191,-11.10052,231,-7.8929796,prod1
192,-10.865398,231,-7.619065,prod1
193,-11.188334,231,-8.00164,prod1
194,-10.744016,231,-7.633735,prod1
195,-10.816988,8,-29.02445,prod1
196,-10.644484,8,-22.213694,prod1
197,-11.270754,8,-30.165258,prod1
198,-11.31908,231,-8.168634,prod1
199,-11.138571,231,-8.138129,prod1
200,-11.259344,231,-8.534249,prod1
201,-11.096512,231,-7.9722137,prod1
202,-11.0754385,231,-7.796808,prod1
203,-11.148721,231,-8.075746,prod1
204,-11.123554,208,-26.812193,prod1
205,-11.177857,231,-8.1499,prod1
206,-11.3519535,231,-8.12375,prod1
207,-10.957879,182,-24.954693,prod1
208,-10.293294,182,-20.807821,prod1
209,-10.438247,182,-16.494156,prod1
210,-10.876572,182,-24.752731,prod1
211,-11.327552,182,-21.654022,prod1
212,-11.216352,8,-27.631016,prod1
213,-10.802181,182,-21.657166,prod1
214,-10.096543,182,-19.087324,prod1
215,-10.23206,182,-18.247332,prod1
216,-10.129173,182,-18.095152,prod1
217,-10.125386,182,-18.012598,prod1
218,-10.49343,182,-19.05628,prod1
219,-9.72334,182,-17.486877,prod1
220,-9.7753315,182,-18.470076,prod1
221,-9.395651,182,-23.169394,prod1
222,-10.197586,115,-28.378607,prod1
223,-9.611764,182,-21.898146,prod1
224,-10.576254,231,-7.433046,prod1
225,-9.809635,231,-6.800183,prod1
226,-9.871226,231,-6.425431,prod1
227,-9.546169,182,-19.76151,prod1
228,-9.7995615,182,-24.755861,prod1
229,-10.094378,182,-23.998148,prod1
230,-10.401023,182,-24.559948,prod1
231,-10.516835,115,-27.382885,prod1
232,-10.743388,182,-20.74171,prod1
233,-10.598829,182,-25.820177,prod1
234,-10.701361,182,-29.695951,prod1
235,-11.080621,182,-25.534605,prod1
236,-11.26847,231,-8.272132,prod1
237,-11.396266,231,-8.394288,prod1
238,-11.132927,231,-8.062592,prod1
239,-10.994476,231,-7.8918185,prod1
240,-10.361574,231,-7.2950163,prod1
241,-10.585408,111,-24.933918,prod1
242,-10.160976,111,-26.261044,prod1
243,-9.98631,111,-26.526892,prod1
244,-8.954786,231,-5.804603,prod1
245,-10.143034,231,-7.239388,prod1
246,-10.022049,115,-27.0632,prod1
247,-10.803578,111,-29.823483,prod1
248,-9.80996,231,-7.082949,prod1
249,-10.373994,231,-7.237412,prod1
250,-9.428011,231,-6.4016256,prod1
251,-10.585341,182,-27.60162,prod1
252,-10.632683,182,-28.117317,prod1
253,-10.949058,182,-26.783352,prod1
254,-10.843915,182,-24.620813,prod1
255,-11.538676,182,-25.189789,prod1
256,-11.169718,182,-22.733822,prod1
257,-11.044914,182,-25.001612,prod1
258,-10.500283,231,-7.289643,prod1
259,-10.022644,231,-6.603624,prod1
260,-9.846083,231,-6.612392,prod1
261,-9.682359,231,-6.3735085,prod1
262,-10.159301,182,-26.405537,prod1
263,-10.335042,182,-25.974817,prod1
264,-10.159773,182,-25.609041,prod1
265,-10.607773,182,-27.726448,prod1
266,-10.665062,182,-24.293615,prod1
267,-11.482624,182,-23.04563,prod1
268,-11.374516,182,-25.500612,prod1
269,-11.071033,182,-30.387774,prod1
270,-11.563771,231,-8.406357,prod1
271,-11.546714,231,-8.902776,prod1
272,-11.723582,231,-8.993412,prod1
273,-12.072196,28,-27.071632,prod1
274,-11.718716,182,-27.97515,prod1
275,-11.51443,231,-8.547847,prod1
276,-10.686591,28,-28.305407,prod1
277,-10.708486,231,-7.909296,prod1
278,-11.833679,28,-27.884846,prod1
279,-11.444196,28,-26.493567,prod1
280,-11.706347,28,-25.875343,prod1
281,-11.348781,231,-8.41043,prod1
282,-11.188746,231,-7.9187765,prod1
283,-11.078631,231,-7.714903,prod1
284,-11.734815,231,-8.864502,prod1
285,-12.200642,231,-9.067213,prod1
286,-11.837077,231,-8.859735,prod1
287,-11.250863,231,-8.108614,prod1
288,-11.006746,28,-28.699713,prod1
289,-11.061125,28,-28.371008,prod1
290,-10.575474,231,-7.0902114,prod1
291,-11.509004,231,-8.24867,prod1
292,-11.696507,231,-8.303495,prod1
293,-11.141914,231,-8.183134,prod1
294,-11.0161,231,-7.8363194,prod1
295,-11.53723,231,-8.53704,prod1
296,-11.839583,231,-8.604996,prod1
297,-11.584685,231,-8.19512,prod1
298,-11.48827,231,-8.179058,prod1
299,-11.377765,231,-8.06968,prod1
300,-11.144269,231,-7.6953464,prod1
301,-11.08019,231,-7.769649,prod1
302,-10.748938,231,-7.379613,prod1
303,-10.814085,231,-7.5756984,prod1
304,-10.995562,231,-7.9818726,prod1
305,-10.30223,231,-7.3743563,prod1
306,-9.702409,231,-6.6723075,prod1
307,-10.398327,231,-7.3450227,prod1
308,-9.454692,231,-6.456993,prod1
309,-10.044741,231,-7.1056743,prod1
310,-10.43947,231,-7.273434,prod1
311,-10.576617,231,-7.256699,prod1
312,-11.114856,231,-7.635566,prod1
313,-11.1686,184,-26.075542,prod1
314,-10.25294,184,-30.170729,prod1
315,-10.3151245,231,-6.887829,prod1
316,-10.454993,231,-7.34974,prod1
317,-10.636162,231,-7.3107066,prod1
318,-11.059034,231,-7.7384834,prod1
319,-10.882253,231,-8.027821,prod1
320,-11.022794,231,-7.789557,prod1
321,-10.496923,231,-7.767309,prod1
322,-11.347697,231,-8.253948,prod1
323,-10.564814,231,-7.6108413,prod1
324,-10.860103,231,-7.757688,prod1
325,-10.530743,231,-7.6080446,prod1
326,-10.518244,231,-7.2519174,prod1
327,-10.856232,231,-7.637025,prod1
328,-10.537774,231,-7.6778464,prod1
329,-11.235461,231,-8.090659,prod1
330,-11.37668,231,-8.639063,prod1
331,-11.549342,231,-8.905158,prod1
332,-10.900652,231,-8.263319,prod1
333,-11.44816,231,-8.609959,prod1
334,-11.420766,231,-8.096123,prod1
335,-10.8066,231,-7.910423,prod1
336,-10.964791,231,-7.802161,prod1
337,-10.37858,231,-7.2753105,prod1
338,-11.751507,231,-8.25414,prod1
339,-11.080411,1,-27.544544,prod1
340,-11.267413,1,-27.714407,prod1
341,-11.647922,1,-29.402843,prod1
342,-11.152478,1,-29.110222,prod1
343,-10.387185,231,-7.2981067,prod1
344,-11.061957,231,-7.8343787,prod1
345,-10.8871,231,-7.750157,prod1
346,-11.168548,1,-25.403496,prod1
347,-10.782179,1,-28.717503,prod1
348,-10.49866,1,-27.292303,prod1
349,-10.711696,1,-25.420454,prod1
350,-10.243266,1,-28.124168,prod1
351,-10.507727,231,-7.530332,prod1
352,-10.049537,231,-6.952573,prod1
353,-10.646815,1,-27.315247,prod1
354,-10.641759,1,-27.291996,prod1
355,-10.527894,1,-24.928528,prod1
356,-10.446694,231,-7.1444397,prod1
357,-10.897836,231,-7.318637,prod1
358,-10.052604,231,-6.7610207,prod1
359,-10.632484,231,-6.8979416,prod1
360,-9.070222,231,-5.714919,prod1
361,-11.060889,231,-7.807749,prod1
362,-10.832576,231,-7.452274,prod1
363,-10.40022,181,9.341058,prod1
364,-10.082762,181,6.0979495,prod1
365,-10.318355,231,-7.156392,prod1
366,-10.222021,231,-6.673769,prod1
367,-10.162904,164,-27.193657,prod1
368,-10.364696,164,-26.498499,prod1
369,-10.327991,1,-27.87493,prod1
370,-9.879549,231,-6.349341,prod1
371,-9.970662,231,-6.492217,prod1
372,-9.328063,231,-5.803804,prod1
373,-9.70284,231,-6.2582464,prod1
374,-9.900716,231,-6.3950114,prod1
375,-9.392584,231,-5.777569,prod1
376,-9.957251,231,-6.524414,prod1
377,-10.180619,231,-6.7214704,prod1
378,-10.090317,231,-6.7104077,prod1
379,-9.914106,231,-6.6463256,prod1
380,-10.401843,231,-7.020507,prod1
381,-10.221796,231,-6.7909822,prod1
