Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
13,none,none,none,,none,4.83,6.88,1.16,-1.0,-0.15,0.84,0.58,1.59,-0.1,-1.13,0.09,0.23,-0.28,1.29,0.55,0.05,0.23,0.34,0.53,0.64,-0.36,-0.78,-0.68,-0.15,0.19,-0.23,-0.18,-0.13,0.44,0.37,-0.33,0.49,-0.17,0.1,-0.24,0.2,0.21,-0.15,0.12,0.21,-0.18,0.03,-0.08,0.03,0.23
14,none,none,none,,none,4.77,6.81,1.11,-1.59,0.49,0.64,-0.37,1.53,-0.73,-0.72,-0.31,0.27,0.38,-0.11,0.21,-0.28,0.19,0.29,0.75,-0.29,-0.24,0.01,-0.27,0.04,-0.32,-0.07,-0.57,-0.05,-0.3,0.23,-0.86,-0.08,-0.11,0.19,0.0,0.27,-0.16,-0.54,-0.28,0.14,-0.13,-0.01,0.19,-0.18,0.08
15,none,none,none,,none,4.38,7.38,1.39,-0.81,-0.04,0.35,0.27,0.98,-0.98,0.09,0.24,0.4,0.31,0.21,-0.22,-0.14,-0.05,0.01,0.65,0.05,-0.21,0.3,0.5,0.37,-0.38,-0.05,-0.21,-0.4,0.27,0.07,-0.69,-0.14,-0.04,-0.05,0.09,0.49,-0.23,0.04,0.06,0.26,-0.19,-0.12,-0.05,0.01,0.2
16,-7.1886497,98.0,-21.227316,prod1,-14.04,4.79,7.29,1.21,-1.04,0.29,1.07,0.25,1.21,-0.54,-0.85,-0.17,0.68,0.28,0.87,0.3,0.43,0.68,-0.25,1.27,0.06,0.12,-0.56,-0.16,-0.14,0.07,0.29,-0.89,-0.04,-0.4,0.34,0.05,0.2,-0.35,0.05,0.1,0.08,-0.13,-0.25,-0.05,0.31,-0.0,-0.04,-0.14,0.03,0.03
17,-6.7523203,98.0,-20.7696,prod1,-14.02,4.63,7.19,1.22,-1.34,0.41,1.1,0.26,1.17,-0.58,-1.13,-0.1,0.64,0.63,-0.12,1.68,0.06,0.7,-0.27,0.48,-0.81,0.0,0.06,0.42,-0.08,-0.43,-0.18,-0.72,0.23,-0.82,0.2,-0.37,-0.39,-0.02,-0.23,-0.03,0.21,-0.1,-0.15,-0.02,0.22,-0.24,0.01,0.27,-0.06,0.31
18,-6.685822,98.0,-18.555677,prod1,-11.87,3.54,6.95,1.13,-1.12,0.1,0.99,0.27,0.67,-0.9,-0.09,0.77,0.62,-0.02,0.06,0.18,0.13,0.48,0.05,0.86,0.1,-0.19,0.13,0.18,0.37,-0.05,0.06,-0.44,-0.66,-0.09,-0.05,-0.5,0.19,-0.31,0.17,-0.08,-0.15,0.04,-0.29,-0.0,0.18,-0.09,-0.07,-0.07,-0.07,0.03
19,-7.1926856,98.0,-21.148796,prod1,-13.96,4.56,6.79,1.24,-1.34,-0.42,1.15,0.48,0.86,-0.36,-0.91,-0.38,0.09,0.65,0.25,1.16,0.08,0.66,-0.34,0.37,-1.08,0.53,-0.4,-0.07,0.26,-0.48,0.15,-0.66,-0.04,-0.07,0.05,-0.32,-0.16,0.0,0.33,-0.04,0.27,0.06,-0.1,0.15,0.13,-0.26,-0.07,-0.07,-0.05,0.11
20,-7.166849,98.0,-21.627468,prod1,-14.46,4.5,7.73,1.11,-1.05,0.23,1.24,0.68,0.2,-1.27,-1.39,0.72,0.19,0.91,0.13,0.59,0.23,1.02,-0.66,0.36,0.11,-0.16,0.0,0.59,0.36,0.43,0.24,-0.81,-0.14,-0.2,0.03,-0.38,0.34,-0.53,-0.15,-0.11,0.42,0.05,0.13,-0.18,0.28,-0.21,-0.02,-0.07,0.09,0.11
21,-6.3065805,98.0,-16.202879,prod1,-9.9,3.86,6.47,1.26,-0.69,-0.13,0.75,0.71,0.53,-0.78,-1.13,0.55,-0.61,-0.14,0.08,0.13,0.32,0.56,-0.62,-0.01,0.35,-0.52,0.08,0.24,0.2,0.14,0.3,-0.04,-0.15,0.22,-0.01,-0.02,-0.34,-0.53,0.11,-0.02,-0.02,-0.01,-0.24,-0.11,0.3,-0.05,0.47,0.12,0.14,0.24
22,none,none,none,,none,4.15,6.25,1.22,-0.96,0.14,0.79,-0.16,0.99,-0.63,-1.4,-0.16,-0.26,0.74,0.29,1.13,0.21,0.62,-0.61,0.23,-0.33,-0.5,-0.22,-0.17,-0.48,-0.55,0.41,-0.2,-0.11,0.27,0.03,-0.38,-0.04,-0.02,0.24,-0.22,-0.09,-0.03,-0.28,0.01,0.41,-0.18,0.01,-0.11,-0.03,-0.12
23,-5.91054,98.0,-22.493622,prod1,-16.58,4.82,6.52,1.13,-1.16,0.35,1.29,-0.0,0.67,-0.57,-0.81,0.02,0.75,-0.05,0.07,0.35,-0.06,0.81,-0.66,0.46,-0.29,0.18,0.47,0.6,0.32,-0.51,0.07,-0.39,-0.08,0.2,0.14,-0.42,0.21,-0.34,-0.21,-0.2,0.11,-0.14,-0.17,0.13,0.42,-0.24,-0.02,-0.28,0.01,-0.04
24,-6.41699,98.0,-18.56541,prod1,-12.15,4.39,7.16,1.04,-1.12,-0.02,1.26,0.35,0.65,-0.67,-0.59,0.08,0.49,-0.27,-0.43,-0.08,-0.22,0.88,-0.83,0.73,0.6,-0.47,0.22,0.56,0.59,0.6,0.31,-0.44,0.6,-0.43,-0.39,-0.35,0.26,-0.34,-0.23,-0.03,-0.0,0.11,-0.25,0.01,0.1,0.02,0.22,-0.21,0.18,-0.03
25,-6.0293536,98.0,-18.472713,prod1,-12.44,3.69,7.57,1.06,-1.12,0.15,1.32,0.18,0.48,-0.21,-0.73,0.49,-0.44,-0.63,-0.11,0.99,-0.06,0.97,-0.09,0.71,0.31,0.18,0.04,0.38,-0.26,0.16,-0.42,-0.49,0.21,-0.26,0.18,-0.82,0.07,-0.0,0.25,0.08,0.2,0.27,0.06,0.12,-0.02,-0.49,0.1,0.09,0.07,0.14
26,-5.560899,98.0,-20.596367,prod1,-15.04,4.64,6.48,1.13,-1.23,-0.06,1.0,0.3,0.96,-0.05,-0.46,0.21,0.21,-0.3,0.3,0.61,-0.16,0.41,-0.25,0.72,-0.0,0.37,0.4,-0.2,-0.65,-0.74,0.24,-0.26,-0.31,-0.09,0.24,-0.64,0.01,0.05,0.05,-0.24,-0.36,0.02,0.05,0.08,0.18,-0.27,-0.3,-0.16,-0.09,-0.19
27,-6.145829,98.0,-19.482336,prod1,-13.34,4.03,6.82,1.13,-1.36,0.26,1.05,0.12,1.26,-0.17,-1.34,-0.33,0.17,0.39,0.64,0.67,-0.38,0.64,-0.74,0.61,0.25,-0.2,-0.2,0.13,0.03,0.36,0.19,-0.57,0.01,0.5,0.12,-0.35,0.14,-0.18,0.09,0.07,0.37,0.16,-0.33,-0.1,0.05,-0.1,-0.04,0.07,-0.13,0.22
28,-5.9659405,98.0,-18.610294,prod1,-12.64,5.18,6.7,0.96,-1.19,0.01,0.93,0.53,0.94,-0.24,-0.04,-0.62,-0.55,-0.74,-0.04,-0.45,0.15,-0.13,0.31,1.49,0.33,0.07,-0.49,-0.33,-0.01,-0.42,-0.08,-0.07,0.02,-0.37,0.06,0.15,-0.31,-0.33,0.17,-0.15,0.11,0.1,-0.27,-0.07,0.06,-0.07,-0.2,0.3,0.09,0.07
29,-6.114371,98.0,-18.374403,prod1,-12.26,4.98,7.0,0.97,-1.54,-0.08,1.16,0.37,0.6,-0.26,-0.41,-0.11,-0.4,0.41,0.67,0.6,0.53,0.7,-0.27,0.59,-0.76,0.25,0.08,0.44,-0.21,-0.39,-0.04,-0.34,-0.17,-0.3,0.43,-0.75,-0.19,-0.35,0.1,0.09,0.26,0.18,-0.46,0.49,0.23,-0.17,-0.03,0.17,0.24,0.16
30,-6.3508058,98.0,-18.804993,prod1,-12.45,6.07,6.9,0.96,-1.42,-0.1,0.81,0.76,0.72,-0.65,-0.08,-0.92,-1.05,-0.53,0.36,-0.15,0.44,-0.63,0.16,0.85,-0.07,0.72,-0.28,0.47,-0.39,0.58,0.26,-0.14,-0.39,-0.38,0.07,-0.67,-0.17,-0.31,-0.02,-0.34,0.31,-0.28,-0.24,-0.07,0.2,-0.05,-0.06,0.25,-0.12,-0.19
31,-6.3563256,98.0,-17.831364,prod1,-11.48,4.95,6.05,0.98,-1.88,0.07,0.81,0.71,1.11,-0.36,-0.04,-0.02,-0.16,-0.47,0.64,-0.66,0.04,-0.87,0.26,0.58,-0.08,-0.02,-0.57,0.1,-0.16,-0.34,0.13,0.06,-0.26,0.14,-0.12,-0.87,0.25,-0.25,0.05,-0.07,0.17,-0.14,-0.23,-0.02,0.05,-0.14,-0.15,0.1,0.05,-0.06
32,none,none,none,,none,4.77,7.13,0.96,-1.24,-0.08,1.31,0.01,0.22,-0.14,0.5,0.61,-0.22,-0.6,-0.55,0.37,-0.17,0.67,0.42,0.65,0.06,0.12,0.4,0.75,-0.37,-0.11,0.26,0.0,-0.33,0.0,0.34,-0.97,0.12,0.04,0.16,0.03,0.47,0.3,0.2,0.56,0.39,-0.24,-0.13,-0.05,-0.23,-0.1
