Frame,Z_coord_n1,na_res,Z_coord_na
3,-6.717492,56,-25.596289
5,-6.840225,56,-23.865269
6,-6.9160733,56,-21.563932
7,-6.807578,56,-21.138094
8,-6.735089,56,-21.983686
10,-7.4711666,56,-21.56469
11,-7.2560525,53,-23.40545
12,-8.188193,53,-23.393124
13,-8.011663,53,-25.036114
14,-8.360686,53,-24.127728
15,-7.3945546,53,-26.437174
16,-8.025059,53,-20.986704
17,-8.215977,53,-27.052307
18,-8.463303,53,-27.37134
19,-8.795155,53,-27.796976
24,-8.929076,182,-24.740849
25,-9.09163,182,-21.43573
26,-8.791492,182,-24.537043
27,-8.764756,182,-21.117083
28,-8.310042,95,-21.4293
29,-7.5492764,95,-20.730083
30,-8.373632,95,-20.185766
31,-8.356159,95,-20.961462
32,-8.529785,95,-24.458033
34,-8.769659,95,-26.11879
35,-9.109594,95,-21.6948
36,-8.764709,95,-21.561665
37,-8.464029,95,-16.987034
38,-8.777925,95,-20.662066
39,-9.462197,95,-23.228983
40,-9.00269,95,-19.63036
42,-8.041574,4,-25.38044
43,-8.823153,95,-22.145792
44,-8.823244,95,-23.534286
45,-8.731483,4,-20.927107
46,-8.667814,4,-18.915916
47,-8.323071,4,-21.091524
48,-8.752743,4,-19.908176
49,-8.77809,4,-20.0744
50,-9.044672,4,-14.624285
51,-8.557858,4,-12.442071
52,-7.643058,4,-10.655406
53,-7.900727,4,-10.68644
54,-8.097193,4,-8.329655
55,-8.246641,4,-8.7433
56,-8.398687,4,-8.697327
57,-7.198389,4,-7.525608
58,-8.061332,4,-8.524452
59,-7.6403756,4,-8.002684
60,-8.225356,4,-8.327265
61,-8.8847885,4,-8.88492
62,-8.595771,4,-8.755577
63,-8.533032,4,-8.643432
64,-7.97534,4,-8.696168
65,-7.7588987,4,-8.233857
66,-8.285171,4,-8.72642
67,-8.840885,4,-9.093122
68,-8.187559,4,-8.234878
69,-8.873882,4,-9.466746
70,-9.075774,4,-8.839251
71,-9.112428,4,-9.114536
72,-9.48221,4,-9.83344
73,-9.184699,4,-9.769991
74,-9.556241,4,-9.930456
75,-8.990393,4,-8.977389
76,-9.482763,4,-9.282479
77,-8.933936,4,-9.01964
78,-8.989023,4,-9.061561
79,-8.599665,4,-8.680319
80,-8.480856,4,-8.438926
81,-8.604136,4,-9.997644
82,-9.304208,4,-9.258477
83,-9.24289,4,-9.552488
84,-8.830746,4,-9.431595
85,-9.098402,4,-9.232131
86,-9.490654,4,-9.723975
87,-9.024181,4,-9.241132
88,-9.1156225,4,-9.077355
89,-9.229694,4,-9.276915
90,-8.854076,4,-9.143101
91,-9.290958,4,-9.663986
92,-9.423512,4,-9.45094
93,-9.249264,4,-10.239201
94,-9.246949,4,-9.253857
95,-9.064004,4,-9.170057
96,-9.004003,4,-9.874862
97,-9.63299,4,-10.624991
98,-8.701784,4,-8.885203
99,-8.171687,4,-9.775764
100,-8.940742,4,-9.328985
101,-9.111903,4,-9.184973
102,-8.729326,4,-9.514419
103,-8.552616,4,-8.347679
104,-9.168015,4,-9.511807
105,-8.48151,4,-9.7102375
106,-8.561378,4,-8.714911
107,-8.881659,4,-9.41933
108,-8.459352,4,-9.601263
109,-8.232779,4,-8.946992
110,-8.861112,4,-9.209783
111,-9.742789,4,-12.578094
112,-10.018242,4,-13.162696
113,-9.462815,4,-12.548504
114,-9.555481,4,-12.471981
115,-8.862316,4,-12.256295
116,-8.540235,4,-11.767704
117,-9.353959,4,-12.58101
118,-9.524453,4,-12.273859
119,-9.841483,4,-12.896301
120,-9.106043,4,-12.461687
121,-9.54556,4,-12.792862
122,-10.202664,4,-12.777016
123,-9.722006,4,-12.352742
124,-9.383484,4,-12.196577
125,-9.529837,4,-12.391842
126,-9.4016485,4,-12.42724
127,-9.69075,4,-12.537681
128,-9.178582,4,-12.364737
129,-9.495105,4,-12.940331
130,-9.821123,4,-12.61824
131,-9.95632,4,-12.725828
132,-10.299932,4,-13.5891905
133,-10.997555,4,-13.869338
134,-10.586857,4,-13.374341
135,-10.645743,4,-13.745456
136,-10.657693,4,-13.429281
137,-10.549779,4,-13.891691
138,-10.8764,4,-13.415434
139,-10.684725,4,-13.339615
140,-11.524139,4,-14.26979
141,-11.462976,4,-13.287993
142,-11.429254,4,-13.128052
143,-12.530428,4,-15.256943
144,-11.679053,4,-12.89188
145,-11.733887,4,-13.220324
146,-11.840186,4,-13.4852085
147,-11.065941,4,-12.48016
148,-11.812579,4,-13.512731
149,-11.694582,4,-13.883241
150,-12.546528,4,-14.346298
151,-12.220275,4,-13.619252
152,-13.070148,4,-14.639954
153,-12.868863,4,-15.7152195
154,-12.678523,4,-13.60311
155,-12.635185,4,-15.65947
156,-12.737396,4,-18.124052
157,-12.789879,4,-18.594584
158,-12.515309,4,-18.905233
159,-12.562133,4,-20.691206
160,-12.567667,4,-19.289341
161,-12.412444,4,-18.350521
162,-12.744122,4,-17.137419
163,-12.766826,4,-17.943735
164,-13.762258,4,-19.027096
165,-13.73596,4,-20.052347
166,-13.35081,4,-18.075558
167,-13.605064,4,-17.24024
168,-13.54286,4,-16.655277
169,-13.064661,4,-14.988333
170,-13.087801,4,-15.168382
171,-12.636633,4,-13.947021
172,-12.729531,4,-14.122791
173,-11.785493,4,-14.741449
174,-12.613488,4,-15.94488
175,-11.963755,4,-15.029915
176,-12.360802,4,-14.719357
177,-12.443963,4,-15.425008
178,-12.099408,4,-14.562462
179,-12.161783,4,-14.987792
180,-12.224937,4,-15.0732
181,-11.66988,4,-14.926783
182,-11.477193,4,-13.180808
183,-11.549661,4,-12.863362
184,-12.061091,4,-14.5337515
185,-12.375665,4,-15.374117
186,-11.747325,4,-12.802737
187,-11.84024,4,-13.065508
188,-12.31603,4,-13.372014
189,-12.4436865,4,-14.465005
190,-12.518301,4,-12.87398
191,-12.357117,4,-12.569964
192,-12.446357,4,-13.170052
193,-12.482917,4,-13.525784
194,-12.256717,4,-17.686653
195,-12.978786,4,-14.581623
196,-12.170378,4,-12.13328
197,-11.8946705,4,-12.27901
198,-12.331758,4,-12.277606
199,-11.817508,4,-11.843132
200,-11.338123,4,-11.614684
201,-11.646273,4,-11.999503
202,-12.06226,4,-12.653236
203,-11.382297,4,-11.522003
204,-11.766538,4,-11.987381
205,-11.597056,4,-11.82449
206,-11.550104,4,-11.664891
207,-10.876551,4,-11.174649
208,-11.970297,4,-12.342504
209,-11.174347,4,-11.839345
210,-11.34799,4,-11.757705
211,-11.732171,4,-12.055457
212,-11.545904,4,-11.898992
213,-10.975113,4,-12.340059
214,-11.401106,4,-11.313292
215,-10.814563,4,-11.173277
216,-11.574597,4,-11.76354
217,-11.523494,4,-11.403831
218,-12.159677,4,-13.532323
219,-12.390667,4,-12.695922
220,-12.038575,4,-12.518277
221,-11.951726,4,-12.378127
222,-12.135479,4,-12.09587
223,-12.093706,4,-12.29804
224,-11.667485,4,-11.452478
225,-11.6924715,4,-11.728201
226,-11.406693,4,-11.537026
227,-11.971354,4,-12.034539
228,-11.9257965,4,-12.317516
229,-12.09129,4,-12.422649
230,-11.859179,4,-11.931837
231,-11.8797,4,-11.939741
232,-12.26859,4,-12.676932
233,-12.030762,4,-11.988313
234,-12.04883,4,-13.06567
235,-11.37903,4,-11.361554
236,-11.324953,4,-11.473471
237,-11.924315,4,-11.948898
238,-11.989475,4,-11.934884
239,-12.148836,4,-12.432536
240,-12.401888,4,-13.452383
241,-12.69905,4,-13.873607
242,-12.750346,4,-14.328488
243,-12.938537,4,-14.105791
244,-13.013093,4,-14.414108
245,-12.645507,4,-13.982808
246,-12.741751,4,-12.980327
247,-13.479673,4,-14.6852
248,-13.356216,4,-14.646076
249,-12.1664715,4,-13.713653
250,-12.229983,4,-12.793161
251,-12.569974,4,-13.3040285
252,-12.945542,4,-13.70417
253,-13.370445,4,-13.904282
254,-13.864306,4,-14.301906
255,-13.644219,4,-14.089363
256,-13.030547,4,-13.541254
257,-13.36376,4,-14.169768
258,-13.464469,4,-13.841239
259,-12.934052,4,-13.316003
260,-12.782755,4,-13.102894
261,-12.734113,4,-12.99861
262,-13.290517,4,-13.480144
263,-12.973598,4,-13.433306
264,-13.711764,4,-14.097762
265,-13.8040085,4,-15.303638
266,-14.210229,4,-14.272526
267,-14.1765175,4,-14.862044
268,-14.892989,4,-16.402985
269,-14.844526,4,-16.258064
270,-14.806873,4,-15.169331
271,-14.58954,4,-15.072585
272,-15.338163,4,-15.608734
273,-14.686685,4,-15.791625
274,-15.534845,4,-15.835723
275,-15.072568,4,-15.58177
276,-13.846583,4,-14.841825
277,-14.809829,4,-15.060256
278,-14.305747,4,-15.380743
279,-14.180401,4,-15.365105
280,-14.51009,4,-16.344149
281,-14.118849,4,-15.450739
282,-14.153145,4,-15.970776
283,-14.320519,4,-16.239105
284,-14.011458,4,-14.270872
285,-14.306014,4,-14.736389
286,-14.413532,4,-14.321549
287,-15.068074,4,-16.625217
288,-15.147434,4,-15.074357
289,-14.481251,4,-15.64073
290,-14.018264,4,-15.587163
291,-14.987946,4,-18.113306
292,-14.951254,4,-17.670553
293,-14.492159,4,-17.412584
294,-14.1321945,4,-16.689642
295,-14.087623,4,-17.14539
296,-13.522107,4,-16.553476
297,-13.46527,4,-16.68522
298,-13.479512,4,-14.545136
299,-12.782806,4,-14.305138
300,-12.904487,4,-14.179745
301,-12.954457,4,-14.787443
302,-13.309891,4,-13.703062
303,-13.271453,4,-13.500937
304,-13.349103,4,-13.739379
305,-12.8692255,4,-13.057604
306,-13.4521265,4,-13.516799
307,-12.856873,4,-15.274257
308,-13.190161,4,-15.836993
309,-12.708746,4,-13.035047
310,-13.568054,4,-13.733704
311,-12.439044,4,-14.152388
