Frame,Z_coord_n1,na_res,Z_coord_na
106,-6.298612,169,-18.079605
117,-6.0437093,223,14.905938
167,-4.3944287,46,-19.357948
168,-4.164311,46,-18.12555
169,-4.197366,46,-17.34331
170,-4.3202367,46,-18.571407
171,-3.897597,46,-19.164724
173,-3.8818452,46,-19.940102
174,-4.2102923,46,-19.894783
175,-3.7741814,46,-18.248304
176,-3.8237798,46,-17.996904
177,-3.4047997,46,-14.387849
178,-3.5986392,46,-16.526976
179,-3.9743285,46,-17.764482
180,-3.75709,46,-20.606813
181,-3.769403,46,-22.557566
182,-3.6744063,46,-21.748579
184,-2.4862487,46,-20.934994
185,-2.5835853,46,-20.345875
188,-2.3585677,46,-20.409613
189,-3.0648785,46,-16.250854
190,-2.9164112,46,-17.490147
191,-2.3977966,46,-20.096905
267,-1.9033983,207,-18.077213
268,-0.9124404,207,-17.300707
283,-2.06867,225,-19.252922
284,-1.8484858,225,-17.182737
345,-1.6283333,97,-19.945568
365,-0.6908887,168,18.142101
366,-0.77943414,168,17.495804
367,-0.28554317,168,16.690746
368,-0.81570965,168,17.722315
369,-0.91556776,168,17.967634
371,0.5829547,168,17.418392
372,0.97040856,168,16.57013
373,0.9039851,168,17.795723
374,1.1132483,168,17.85703
377,1.2215558,7,-15.231862
388,1.7566873,168,18.787584
389,1.4356315,168,17.533218
390,1.0390942,168,16.206284
391,1.2824652,168,16.394936
392,1.1229624,168,18.369677
393,0.8825646,168,18.867746
394,1.4681814,168,18.639347
395,0.8670555,168,16.211407
396,0.483562,168,15.811693
397,-0.17957793,168,17.263489
399,-1.0890386,168,15.853052
