Frame,Z_coord_n1,na_res,Z_coord_na
0,-7.3888183,121,-23.62387
1,-7.2116213,121,-22.359789
2,-6.670801,121,-21.366083
7,-6.6092596,119,12.385913
8,-6.5786448,119,8.519518
9,-7.2282166,119,9.976637
10,-6.6092014,119,10.782455
11,-6.752302,119,12.47025
19,-6.3974566,119,10.874388
20,-6.517444,119,9.123689
21,-7.1028852,119,5.1866674
22,-6.6832027,119,4.246721
23,-5.79423,119,6.1949587
24,-5.8503966,119,6.7273884
25,-5.8719482,119,4.3175554
26,-5.749758,119,12.239723
27,-5.4884152,119,10.924043
28,-5.3541102,119,14.712097
29,-5.084833,119,14.846826
30,-4.5819163,119,12.93151
31,-4.304735,119,13.293209
32,-4.853021,119,11.584162
33,-4.261492,119,12.884956
34,-4.899265,119,14.203101
35,-4.618185,119,12.310029
36,-3.8053434,119,13.389889
37,-3.6192212,119,12.153535
38,-4.334223,119,13.155653
39,-3.9658635,119,13.333571
40,-4.314955,119,13.276007
41,-4.5514483,119,12.900781
42,-3.809943,119,14.548282
43,-3.8384268,119,15.355059
46,-3.2312949,119,15.482424
47,-3.5096726,119,12.992743
48,-3.6754532,119,11.873676
49,-3.6983507,119,17.654707
50,-4.161442,197,-18.495596
51,-3.6545753,197,-17.203833
100,-2.8086667,168,-18.851997
101,-1.8888956,168,-17.377304
102,-2.3296688,168,-18.067493
103,-1.8678143,168,-16.446205
104,-1.7268113,168,-17.810272
105,-1.8862277,168,-15.57348
106,-1.3857958,168,-14.919231
107,-1.5030396,168,-14.28785
108,-1.6358593,168,-14.94455
109,-1.6595725,168,-15.887821
110,-2.2476344,168,-18.839563
122,-2.0272703,191,-16.29118
153,-1.9623284,168,-18.164082
219,-0.520027,88,-15.294366
261,-4.4134407,111,-20.374222
282,-3.148614,53,-17.754108
283,-2.894024,53,-17.588917
284,-2.9208467,53,-16.35675
318,-1.818484,31,18.125772
324,-1.2727401,31,19.770708
340,0.34006083,37,21.362888
341,-0.14785233,2,-15.262823
343,-0.6245859,37,20.56689
