Frame,Z_coord_n1,na_res,Z_coord_na
0,-5.078284,35,-20.167835
1,-5.9903793,35,-19.604044
2,-6.1841598,35,-22.303755
3,-5.482825,52,-5.5530567
4,-5.257281,52,-5.197111
5,-5.7278943,52,-5.321608
6,-5.2822585,52,-5.179186
7,-5.377465,52,-5.6869807
8,-5.814912,52,-6.9851675
9,-5.6790137,52,-5.8385906
10,-5.5083356,52,-5.3250504
11,-5.0620656,52,-5.2014275
12,-5.650252,52,-5.691535
13,-6.0178127,52,-6.22942
14,-6.0579796,52,-7.3597035
15,-6.1162877,52,-6.2532287
16,-5.849049,52,-5.8012123
17,-6.006869,52,-6.0323954
18,-6.3023567,52,-6.3668222
19,-7.0531664,52,-7.003142
20,-6.754068,52,-7.272235
21,-7.547804,52,-7.632655
22,-7.756254,52,-7.966939
23,-8.06283,52,-8.009017
24,-7.202945,52,-6.999769
25,-7.0970693,35,-24.33391
26,-6.862811,52,-7.656611
27,-6.3420253,52,-6.364328
28,-7.0324287,52,-6.811009
29,-6.8276796,52,-8.010189
30,-6.469701,52,-6.3641067
31,-6.1742268,52,-6.1435795
32,-6.793928,52,-7.103013
33,-6.868445,52,-7.8589487
34,-6.5811405,52,-6.8857183
35,-6.571753,30,-21.894514
36,-6.815216,52,-8.5914345
37,-6.977179,52,-8.395819
38,-6.4804835,52,-7.4569435
39,-5.9744134,52,-6.172563
40,-6.520282,52,-6.2949095
41,-6.0695853,52,-7.1657524
42,-5.673894,52,-5.803296
43,-5.7660723,52,-5.896823
44,-6.3202314,52,-6.624305
45,-6.981748,52,-7.370127
46,-6.9283395,52,-6.9006667
47,-6.637249,52,-6.837865
48,-7.2732005,52,-7.5210905
49,-6.9619517,52,-7.2263193
50,-7.762047,52,-7.658996
51,-7.212866,52,-7.5296726
52,-7.798857,52,-7.4780245
53,-7.2626023,52,-7.6149716
54,-7.7920184,52,-7.918851
55,-7.431575,30,-22.253464
56,-7.0345826,30,-22.496746
57,-6.979799,30,-19.877691
58,-6.9030805,30,-22.809044
59,-6.7439866,30,-22.398075
60,-6.6939354,30,-21.771997
61,-6.7156253,30,-21.098392
62,-7.3341885,30,-21.623957
63,-7.796688,30,-23.20207
64,-7.76481,30,-23.809952
65,-7.4748783,30,-25.633356
66,-7.5726824,30,-23.29229
67,-7.0905375,30,-23.041105
68,-7.44938,30,-24.600096
69,-8.347848,30,-24.43029
70,-8.127936,30,-22.759619
71,-7.9295397,30,-23.495798
72,-7.638189,30,-23.497286
73,-7.458631,30,-20.171078
74,-7.4335084,30,-22.589878
75,-6.6785865,30,-22.172997
76,-6.78228,30,-23.63898
77,-6.301701,30,-21.384327
78,-5.925303,30,-23.135374
79,-6.3779173,30,-22.197021
80,-5.735249,30,-22.203964
81,-5.7736087,30,-18.965532
82,-6.3049603,52,-7.030429
83,-6.3357716,30,-20.856567
84,-6.0977063,30,-20.074598
85,-5.688186,30,-21.11351
86,-5.4854913,30,-23.470854
87,-5.826785,30,-23.763409
88,-6.0695415,30,-21.773972
89,-6.6148496,30,-23.277863
90,-6.369609,30,-22.799973
91,-6.008967,52,-8.704372
