Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
11,-3.695689,174.0,-9.543997,prod1,-5.85,4.22,6.33,1.49,0.19,-0.69,0.52,0.55,0.15,-2.21,-0.14,-0.01,-0.22,0.58,-0.23,-0.03,0.43,-0.65,0.91,-0.86,-0.9,0.04,-0.35,0.43,-0.41,0.31,-0.07,0.09,-0.17,0.21,0.45,-0.06,-0.01,-0.17,0.12,-0.13,0.01,-0.13,0.11,0.05,0.12,-0.18,0.01,-0.09,0.01,0.04
12,-4.1203556,174.0,-9.553496,prod1,-5.43,4.11,6.41,1.52,-0.29,-0.29,0.33,0.08,0.21,-2.18,-0.25,-0.15,0.06,1.01,-0.4,-0.73,0.14,-0.73,0.44,-0.17,-0.42,-0.36,-0.45,-0.0,-0.33,0.41,0.06,-0.22,0.16,0.45,0.09,-0.08,-0.44,-0.02,0.12,-0.38,0.33,0.02,0.17,0.04,-0.17,-0.09,0.02,0.19,0.07,0.01
13,-3.6927717,174.0,-9.502933,prod1,-5.81,4.22,6.14,1.55,0.28,-0.37,0.48,0.59,0.52,-2.35,0.37,-0.39,0.71,1.1,0.03,-0.83,0.01,-1.24,1.2,-0.36,-1.1,0.12,-0.42,-0.09,-0.24,0.52,-0.23,0.34,0.14,0.47,0.12,0.06,-0.3,0.26,0.05,-0.26,0.18,0.22,-0.01,-0.11,0.24,-0.04,0.08,0.34,0.14,0.16
14,-3.9079015,71.0,-19.396791,prod1,-15.49,5.19,6.79,1.46,-0.2,-0.61,0.06,0.54,0.73,-1.99,-0.26,0.0,-0.28,0.99,0.82,-0.47,-0.2,-1.27,0.46,-0.15,-0.74,0.0,-0.56,-0.14,-0.23,0.22,0.07,-0.09,0.15,0.13,0.07,0.02,-0.3,-0.07,0.43,-0.34,0.66,0.19,0.01,0.15,0.15,-0.01,-0.12,0.06,0.14,0.04
15,-4.65028,174.0,-10.389028,prod1,-5.74,4.08,5.87,1.43,0.08,-0.53,0.44,0.6,0.54,-2.35,0.59,0.57,0.51,1.13,0.32,-0.72,0.17,-1.16,0.88,-0.06,-0.6,-0.35,-0.37,0.3,-0.51,-0.13,-0.11,0.22,-0.0,0.32,0.15,0.09,-0.17,0.18,0.23,-0.17,-0.14,-0.18,-0.07,-0.39,-0.05,0.2,-0.05,0.12,0.07,0.15
16,-4.081761,71.0,-22.465584,prod1,-18.38,4.16,7.07,1.51,0.51,-0.78,0.21,0.15,0.41,-2.7,-0.1,-0.21,0.22,0.83,-0.2,-0.6,-0.19,-1.0,1.09,-0.28,-0.96,-0.33,0.1,0.15,0.16,0.33,0.11,-0.11,0.3,0.46,0.14,-0.3,0.05,0.2,0.48,-0.03,0.25,-0.09,0.12,0.12,0.04,-0.23,-0.29,-0.18,-0.09,-0.01
17,-3.3510983,174.0,-9.069399,prod1,-5.72,4.77,6.76,1.53,0.05,-0.43,0.08,-0.06,0.75,-1.94,-0.63,0.16,-0.01,1.43,-0.1,-0.79,-0.29,-0.79,0.75,-0.26,-0.44,-0.39,0.01,-0.25,-0.1,0.49,0.2,-0.29,0.44,-0.01,0.39,0.16,0.33,0.23,0.48,-0.29,0.17,-0.48,-0.04,0.09,-0.09,0.02,-0.09,0.12,0.04,-0.15
18,-3.9522939,174.0,-9.662458,prod1,-5.71,4.67,6.83,1.59,0.31,-0.37,0.03,0.38,0.99,-1.61,-1.2,0.51,-0.83,1.84,0.21,0.24,-0.63,-0.91,0.71,-0.83,-0.49,-0.63,-0.35,-0.85,-0.11,0.67,-0.07,-0.18,0.24,0.18,0.24,0.06,0.06,0.54,0.37,-0.11,0.46,-0.03,-0.08,-0.12,0.04,-0.16,0.02,-0.11,0.08,0.03
19,-3.8859527,174.0,-9.363639,prod1,-5.48,4.27,7.08,1.59,-0.05,-0.47,0.17,0.76,0.87,-1.28,-0.58,0.31,-0.44,1.92,0.29,0.19,-0.18,-0.55,0.3,0.06,-0.71,-0.16,-0.06,0.07,-0.9,0.04,-0.49,-0.3,0.57,-0.27,-0.1,-0.04,-0.55,0.21,0.35,-0.15,0.18,-0.19,-0.06,-0.34,-0.02,-0.01,0.04,0.25,-0.15,0.13
20,-4.5910625,174.0,-11.422674,prod1,-6.83,4.27,6.98,1.51,-0.18,-0.23,0.26,1.33,0.84,-2.06,-0.9,0.4,-0.57,1.42,-0.21,0.12,-0.38,-0.43,0.54,-0.31,-1.02,-0.49,-0.39,-0.35,-0.22,0.74,0.34,0.04,0.75,0.2,0.27,0.37,0.61,0.53,0.27,-0.06,0.1,-0.1,-0.1,-0.08,0.05,0.26,-0.21,-0.08,-0.0,0.03
21,-3.7523718,174.0,-12.702758,prod1,-8.95,4.38,6.44,1.43,-0.64,-0.44,0.21,1.08,0.78,-1.91,-0.41,0.53,-0.14,1.08,-0.2,0.36,-0.41,-0.51,0.92,-1.16,-0.42,-0.03,-0.03,-0.06,-0.0,1.11,0.33,-0.05,0.49,0.22,0.04,0.3,0.04,0.55,0.49,-0.33,0.47,0.3,-0.25,-0.02,0.19,-0.11,0.08,0.1,0.17,0.05
22,-3.431696,174.0,-12.803373,prod1,-9.37,3.63,6.6,1.56,-0.25,-0.43,-0.12,0.38,0.97,-1.99,-0.87,0.33,-0.72,1.69,0.0,0.13,-0.01,-1.33,0.83,-0.81,-0.95,-0.24,0.02,-0.04,-0.46,0.5,0.12,-0.61,0.55,0.25,-0.25,0.46,0.53,-0.05,0.71,0.07,0.38,0.05,0.31,0.06,-0.1,0.04,0.12,-0.04,0.02,-0.04
23,-4.1443186,174.0,-10.6070385,prod1,-6.46,3.7,7.27,1.48,-0.35,-0.35,0.08,0.45,0.81,-2.11,-0.67,0.23,-1.27,1.37,-0.23,0.42,-0.61,0.02,0.17,-0.46,-0.9,-0.07,-0.13,0.31,-0.61,0.37,0.31,-0.63,0.57,0.01,-0.22,-0.0,0.37,0.12,0.02,0.05,0.01,-0.02,-0.15,-0.22,-0.22,0.15,-0.05,0.15,-0.05,0.02
24,-4.1174264,174.0,-14.124606,prod1,-10.01,4.62,6.61,1.43,-0.54,-0.12,0.23,0.68,0.64,-1.97,-0.53,0.33,-0.29,1.56,0.07,-0.09,-0.73,-0.5,0.26,-0.69,-0.48,0.19,-0.17,0.16,-0.2,0.44,-0.06,-0.11,0.56,0.01,-0.05,0.2,0.01,-0.01,0.0,-0.48,0.26,0.16,-0.07,-0.06,-0.09,-0.37,0.03,0.1,0.15,-0.09
25,-3.5909202,174.0,-18.108665,prod1,-14.52,3.5,6.72,1.31,-0.86,-0.4,0.31,0.52,0.83,-1.58,-0.87,-0.13,-0.34,1.17,0.07,0.29,-0.75,-0.54,0.24,-0.49,0.04,-0.27,-0.13,0.42,-0.22,1.1,0.07,-0.24,0.05,-0.1,-0.59,0.16,0.33,-0.07,0.35,0.06,0.44,0.02,0.35,0.22,-0.1,0.05,0.18,0.22,0.0,0.04
26,-3.6141927,174.0,-13.723807,prod1,-10.11,3.61,5.81,1.36,-0.56,-0.36,0.42,0.61,1.03,-1.59,-0.39,-0.23,-0.24,0.93,-0.06,0.6,-0.79,-0.06,0.29,-0.74,-0.22,-0.31,-0.57,-0.72,-0.55,0.65,0.51,0.33,-0.16,0.43,-0.39,-0.04,0.34,0.2,-0.11,0.04,-0.03,0.21,0.15,0.03,0.02,0.14,-0.15,-0.07,-0.18,-0.25
27,-3.753147,174.0,-13.738375,prod1,-9.99,4.67,5.63,1.16,-1.34,-0.11,0.61,0.37,1.1,-1.5,-0.63,0.04,-0.18,0.98,0.43,0.51,-0.67,-0.25,-0.22,-0.46,-0.73,0.08,-0.41,-0.49,-0.7,0.89,0.13,-0.0,0.07,-0.18,0.23,0.07,0.46,-0.02,0.01,-0.13,-0.11,-0.19,-0.04,0.14,-0.13,0.38,-0.22,-0.05,0.05,0.05
28,-3.12365,174.0,-13.693558,prod1,-10.57,3.9,5.97,1.37,-0.85,-0.02,0.15,1.02,0.97,-1.86,-1.01,-0.47,-0.29,1.22,0.54,0.32,-0.51,-0.33,-0.34,-0.24,-0.36,-0.38,-0.36,-0.24,-0.79,0.96,0.38,0.22,0.03,0.01,-0.35,0.25,0.06,0.24,-0.18,-0.27,-0.21,-0.02,-0.11,0.01,-0.08,0.23,0.15,0.19,-0.09,-0.02
29,-3.6099508,174.0,-15.990081,prod1,-12.38,4.69,5.74,1.48,-0.41,-0.26,-0.05,0.91,0.9,-1.98,-0.42,-0.17,-0.47,0.91,0.22,-0.08,-0.87,-0.59,-0.07,-1.16,-0.72,-0.16,0.29,-0.07,-0.8,-0.27,0.21,0.17,-0.07,-0.29,-0.23,0.02,-0.12,0.0,-0.63,0.11,0.03,-0.09,0.2,-0.04,-0.13,-0.12,0.06,0.08,0.05,-0.11
30,-4.27775,174.0,-18.678001,prod1,-14.4,4.17,6.42,1.3,-0.62,0.01,0.76,1.4,0.71,-1.68,-1.08,-0.13,-0.31,0.37,0.35,0.86,-0.19,0.05,0.02,-0.76,-1.18,-0.25,-0.43,-0.23,-0.59,1.1,0.38,-0.7,0.22,-0.04,0.11,0.24,0.31,-0.08,-0.1,0.03,0.14,0.05,0.13,-0.13,-0.09,0.1,-0.24,0.06,0.1,-0.07
31,-4.461268,174.0,-13.179465,prod1,-8.72,4.32,5.41,1.38,-0.2,-0.17,0.06,0.88,0.53,-2.68,-0.44,-0.03,-0.48,0.86,-0.05,0.7,-0.86,-0.5,0.29,-1.19,-0.59,-0.01,-0.08,-0.49,-0.48,0.69,0.32,0.29,0.26,-0.16,0.27,0.66,0.02,0.37,-0.14,0.1,-0.19,0.04,-0.12,-0.19,-0.14,0.25,0.1,0.05,0.14,0.12
32,-5.0202537,174.0,-14.008161,prod1,-8.99,4.57,6.45,1.44,-0.51,-0.2,-0.13,0.57,0.82,-1.78,-0.55,0.05,-0.63,1.09,0.16,-0.2,-0.6,-0.73,0.89,-0.7,-0.59,-0.16,-0.11,-0.06,-0.53,0.35,0.12,-0.21,0.89,0.15,-0.08,0.25,0.16,0.47,-0.45,0.24,0.26,0.35,-0.07,0.2,-0.21,-0.05,0.01,0.01,0.01,-0.13
33,-4.617472,174.0,-14.092416,prod1,-9.47,4.1,6.25,1.47,-0.5,-0.22,0.21,0.59,0.74,-1.63,-0.72,0.18,-0.05,1.27,0.23,-0.04,-0.34,-0.4,0.22,-0.71,-0.36,-0.29,0.2,-0.54,-0.33,0.15,0.08,-0.05,-0.01,0.06,-0.29,-0.07,-0.0,-0.02,-0.31,-0.07,0.18,0.37,-0.27,-0.05,0.1,-0.16,0.11,0.23,0.11,-0.03
34,-4.6166296,174.0,-18.791775,prod1,-14.18,4.56,6.29,1.4,-0.28,0.14,-0.03,1.0,0.94,-1.93,-0.18,0.29,-0.05,1.47,0.49,-0.08,-0.78,-1.37,1.13,-0.47,-0.25,0.11,-0.79,-0.55,-0.24,0.44,0.1,0.2,0.1,0.56,0.17,0.28,-0.25,-0.05,0.09,-0.17,0.11,0.29,0.01,0.01,0.45,-0.29,-0.02,0.18,-0.07,-0.12
35,-4.457892,174.0,-22.379213,prod1,-17.92,3.95,6.93,1.37,-0.64,-0.39,0.89,1.03,0.52,-0.47,-0.61,1.17,-0.86,1.85,0.38,0.4,-0.23,-0.12,0.12,-0.21,-0.75,0.27,-0.49,0.02,0.12,-0.08,0.04,-0.35,0.26,0.12,-0.04,0.22,0.44,-0.19,0.11,0.04,-0.06,0.15,0.15,0.11,-0.01,-0.13,-0.02,-0.02,0.1,0.07
36,-4.5791273,174.0,-23.169338,prod1,-18.59,3.9,6.24,1.45,-0.38,0.0,-0.15,0.73,0.72,-2.19,-0.35,0.14,-0.39,0.86,0.23,0.33,-0.73,-0.6,0.11,-0.63,-0.77,-0.17,0.01,-0.1,-0.32,-0.16,-0.24,0.21,0.24,-0.46,-0.15,0.27,-0.23,0.31,0.26,0.3,0.24,0.03,0.11,0.14,0.14,-0.05,-0.21,-0.05,0.07,0.15
