Frame,Z_coord_n1,na_res,Z_coord_na,prod
133,-4.1743627,174,-13.139498,prod1
134,-4.5702477,174,-12.901929,prod1
135,-5.0209126,174,-14.855656,prod1
136,-4.5085726,174,-14.474293,prod1
137,-4.2389193,174,-12.997246,prod1
138,-4.1819344,174,-16.319134,prod1
140,-4.2083735,174,-18.35352,prod1
142,-3.1340783,265,16.87488,prod1
144,-3.1032228,10,-21.812132,prod1
155,-5.3663282,10,-21.547457,prod1
156,-5.4285765,10,-17.922453,prod1
157,-4.5426073,10,-17.324875,prod1
158,-5.1726933,10,-18.81897,prod1
159,-5.5043397,10,-18.625994,prod1
160,-5.8099246,10,-19.13193,prod1
161,-5.93704,10,-18.425781,prod1
162,-5.4714913,10,-18.175882,prod1
163,-5.6617913,10,-24.355518,prod1
168,-5.9665766,186,7.696025,prod1
179,-7.118274,130,-21.308277,prod1
180,-7.494401,130,-20.060688,prod1
181,-7.5151315,130,-21.478191,prod1
183,-6.6730237,130,-25.307085,prod1
184,-6.805644,130,-23.767382,prod1
185,-6.938802,130,-22.800482,prod1
186,-6.4588785,130,-24.110786,prod1
187,-6.691905,130,-21.903942,prod1
191,-5.9018836,184,-21.68291,prod1
193,-6.2942495,184,-22.407381,prod1
200,-5.205369,130,-22.981438,prod1
201,-4.8912425,130,-22.727491,prod1
208,-4.2307725,130,-19.80045,prod1
240,-6.4053288,86,-21.88957,prod1
259,-5.869315,77,-25.101679,prod1
260,-5.706437,77,-22.940676,prod1
261,-6.2767854,77,-22.317316,prod1
277,-6.2118015,132,-22.344149,prod1
282,-5.2509985,196,-22.834505,prod1
283,-5.411427,196,-20.733997,prod1
284,-5.3921957,196,-17.922926,prod1
285,-5.1045403,196,-13.493817,prod1
286,-4.7081494,196,-13.895241,prod1
287,-4.8205214,196,-12.898481,prod1
288,-4.309833,196,-13.955295,prod1
289,-3.7081084,196,-13.728173,prod1
290,-3.8003643,196,-14.676691,prod1
291,-3.943008,196,-18.416346,prod1
292,-4.3074255,196,-14.945334,prod1
293,-4.103536,196,-19.009253,prod1
295,-3.6972678,52,-19.339615,prod1
302,-3.872955,196,-16.58208,prod1
303,-3.5257068,196,-15.26763,prod1
305,-4.534337,196,-16.828337,prod1
306,-3.9761596,196,-15.120203,prod1
307,-4.632936,196,-16.409971,prod1
308,-4.337731,196,-18.326092,prod1
309,-3.367024,52,-22.074926,prod1
312,-3.1489904,52,-21.446901,prod1
319,-1.4979818,52,-15.035341,prod1
320,-1.3877237,52,-16.666592,prod1
321,-2.1160874,196,-17.472956,prod1
327,-1.881678,196,-16.242737,prod1
330,-2.3314505,196,-16.98573,prod1
332,-2.4842832,196,-18.319822,prod1
341,-0.6355747,132,-17.052282,prod1
342,-0.85812396,132,-13.959376,prod1
343,-1.2328484,132,-15.138023,prod1
344,-1.1531725,132,-14.57474,prod1
345,-1.0181199,132,-15.820839,prod1
346,-1.3536489,132,-17.547531,prod1
347,-0.6123455,132,-13.138104,prod1
350,-2.3983417,132,-18.267994,prod1
351,-1.4727974,132,-15.951322,prod1
352,-1.6436764,132,-17.65686,prod1
353,-1.8659955,132,-16.132729,prod1
354,-0.85932934,132,-18.794638,prod1
355,-1.4374974,132,-18.745354,prod1
356,-1.242604,132,-19.222961,prod1
357,-0.94617313,132,-19.689793,prod1
358,-0.7172556,132,-16.798851,prod1
359,-1.0913577,132,-16.972967,prod1
376,-1.7316405,52,-19.804825,prod1
380,-2.50532,52,-21.040045,prod1
382,-2.9672928,52,-19.478056,prod1
383,-2.9089477,52,-20.229643,prod1
384,-3.0531912,52,-20.909899,prod1
386,-2.8738897,148,-19.170942,prod1
387,-2.5103102,52,-20.892237,prod1
389,-2.471468,148,-15.923814,prod1
390,-2.2535267,148,-15.668651,prod1
391,-2.5674405,148,-14.072853,prod1
392,-2.9791315,148,-14.276175,prod1
393,-2.671714,148,-13.74853,prod1
417,-3.2834368,148,-19.861584,prod2
423,-3.752226,148,-19.29222,prod2
424,-4.05168,148,-20.281212,prod2
425,-4.377383,148,-20.113466,prod2
426,-4.066126,148,-18.853462,prod2
427,-3.8852968,148,-16.95018,prod2
428,-3.4262836,127,-21.583023,prod2
430,-2.971421,148,-17.571985,prod2
431,-3.9786777,148,-19.382864,prod2
432,-4.0222526,148,-20.229652,prod2
434,-3.2511733,148,-17.284536,prod2
435,-3.9484098,148,-20.27588,prod2
436,-3.3244815,148,-19.09194,prod2
437,-3.6399796,148,-16.439037,prod2
438,-2.9156728,148,-17.126247,prod2
439,-3.6613677,148,-14.636373,prod2
440,-3.7766526,148,-17.45858,prod2
441,-3.4689302,148,-15.896083,prod2
442,-3.544991,148,-18.265919,prod2
444,-2.7090352,148,-19.6965,prod2
445,-3.2378335,148,-21.159067,prod2
449,-2.8062205,52,-21.044012,prod2
450,-2.8249083,52,-15.904818,prod2
451,-3.2580023,52,-13.718265,prod2
452,-2.7226875,52,-13.795564,prod2
453,-3.0812218,52,-15.370669,prod2
454,-2.5823777,52,-18.891695,prod2
455,-2.857886,52,-19.318613,prod2
456,-2.8021357,52,-16.353262,prod2
457,-3.3032181,52,-15.985175,prod2
458,-2.7180507,52,-12.992686,prod2
459,-2.2781968,52,-15.266897,prod2
460,-2.271396,52,-11.395229,prod2
461,-2.4502332,52,-13.349927,prod2
462,-2.7638547,52,-13.724954,prod2
463,-2.594468,52,-12.396649,prod2
464,-3.2759948,52,-11.96992,prod2
465,-2.6866417,52,-13.968689,prod2
466,-2.2201262,52,-13.353911,prod2
467,-2.6887221,52,-14.492387,prod2
468,-3.322552,52,-14.51561,prod2
469,-2.6184096,52,-13.277025,prod2
470,-3.2658093,52,-18.573202,prod2
471,-3.3970156,52,-15.533377,prod2
472,-3.8084605,52,-14.750989,prod2
473,-4.2076106,52,-15.078557,prod2
474,-3.9561117,52,-19.319614,prod2
475,-4.360896,52,-18.94463,prod2
476,-2.9428577,52,-18.027454,prod2
481,-2.4423292,52,-19.777266,prod2
483,-3.8653307,52,-17.563269,prod2
484,-4.366231,52,-17.032587,prod2
485,-4.180864,52,-19.800232,prod2
487,-4.0685205,52,-20.91582,prod2
488,-4.062033,52,-20.031654,prod2
489,-3.8703992,52,-20.972225,prod2
490,-3.460628,52,-18.813,prod2
491,-3.7640312,52,-18.482212,prod2
492,-3.9516993,52,-19.327934,prod2
493,-2.9353182,52,-20.82626,prod2
495,-3.0524898,52,-19.256596,prod2
497,-2.917998,52,-21.905277,prod2
498,-2.9417713,52,-20.973143,prod2
499,-2.5469933,52,-18.986088,prod2
500,-2.984333,52,-14.841839,prod2
501,-3.1788445,52,-15.427589,prod2
502,-2.5108666,52,-13.329049,prod2
503,-2.238458,52,-13.046048,prod2
504,-2.9631732,52,-15.3953,prod2
505,-2.733299,52,-14.928791,prod2
506,-3.386406,52,-16.497189,prod2
507,-3.073349,52,-19.088753,prod2
508,-2.4891665,204,-17.004587,prod2
509,-2.1501212,204,-15.7705345,prod2
510,-2.845445,204,-18.987337,prod2
511,-3.0725577,52,-20.472456,prod2
